PUMA,WGTP,WGTP30,PCTburden30
101,6917,6031,87.19097874801214
102,2565,2133,83.15789473684211
200,2851,2213,77.62188705717293
300,3474,2613,75.21588946459413
400,2238,1902,84.98659517426273
500,2298,1961,85.33507397737162
600,1655,1655,100.0
701,4317,3681,85.26754690757471
702,1815,1726,95.09641873278237
801,1995,1776,89.02255639097744
802,5654,4937,87.31871241598867
803,2099,2099,100.0
900,3804,3777,99.29022082018928
1000,1096,1096,100.0
1100,2834,2209,77.94636556104446
1200,3329,3329,100.0
1300,3999,3440,86.02150537634408
1400,2510,2335,93.02788844621513
1501,3316,2941,88.69119420989144
1502,3510,2957,84.24501424501425
1600,2886,2548,88.28828828828829
1701,12483,10168,81.4547784987583
1702,4758,4347,91.36191677175283
1801,2374,2374,100.0
1802,1509,1509,100.0
1803,1938,1202,62.02270381836945
1804,7020,5890,83.9031339031339
1805,4729,3693,78.09262000422922
1806,2822,2710,96.03118355776046
1807,2467,2467,100.0
1900,3933,3700,94.07576913297737
2001,1929,1565,81.1301192327631
2002,3317,3149,94.93518239372928
2003,1937,1448,74.75477542591636
2100,4250,3484,81.9764705882353
2200,4805,4009,83.43392299687825
2301,2838,2782,98.02677942212826
2302,1075,1075,100.0
2401,7529,6580,87.3954044361801
2402,1239,1094,88.29701372074254
2500,2493,2053,82.35058162855996
2600,2899,2584,89.13418420144878
2701,785,785,100.0
2702,7894,6888,87.25614390676462
2703,749,637,85.04672897196261
2801,992,731,73.68951612903226
2802,1701,1332,78.3068783068783
2803,7179,6745,93.95458977573479
2901,4185,3328,79.5221027479092
2902,663,484,73.00150829562594
3001,983,911,92.67548321464903
3002,916,849,92.68558951965066
3003,999,503,50.35035035035035
3004,2723,2647,97.20896070510466
3101,2927,2881,98.42842500854117
3102,1351,1351,100.0
3103,1987,1936,97.43331655762456
3104,2938,2857,97.2430224642614
3105,626,471,75.23961661341852
3106,1690,1395,82.54437869822485
3201,5079,3279,64.55995274660367
3202,5509,5393,97.89435469232166
3203,5075,4969,97.91133004926108
3204,7920,7559,95.44191919191918
3205,7987,7312,91.54876674596218
3206,5123,5123,100.0
3207,6440,5035,78.1832298136646
3208,10685,8956,83.81843706130088
3209,4446,3703,83.28834907782277
3210,7596,7466,98.2885729331227
3211,3919,2798,71.39576422556775
3301,953,953,100.0
3302,3159,2808,88.88888888888889
3303,5065,4406,86.98914116485686
3304,562,562,100.0
3401,525,525,100.0
3402,757,757,100.0
3403,1662,1662,100.0
3404,1029,1029,100.0
3501,4242,4144,97.6897689768977
3502,2238,2238,100.0
3503,827,827,100.0
3504,2029,2029,100.0
3601,6787,6183,91.10063356416678
3602,1057,1057,100.0
3603,1067,827,77.50702905342081
3701,1792,1727,96.37276785714286
3702,1748,1098,62.81464530892449
3800,3281,2782,84.79122218835721
3900,5149,4494,87.27908331714896
4001,2118,1417,66.90273843248347
4002,2755,2300,83.48457350272233
