GEOID,county,democrat,republican,other
42001,Adams County,14077,31249,1812
42003,Allegheny County,363017,257488,22668
42005,Armstrong County,6849,22676,921
42007,Beaver County,30225,46081,2730
42009,Bedford County,3613,19455,436
42011,Berks County,75169,93094,7671
42013,Blair County,13093,37224,1712
42015,Bradford County,6263,17957,1179
42017,Bucks County,165861,163873,12838
42019,Butler County,26834,61388,3805
42021,Cambria County,17798,40510,1859
42023,Cameron County,469,1495,60
42025,Carbon County,8917,18714,1090
42027,Centre County,36555,35099,3740
42029,Chester County,140188,115582,10867
42031,Clarion County,4256,12545,680
42033,Clearfield County,7700,23909,1083
42035,Clinton County,4533,9701,605
42037,Columbia County,8502,17387,1238
42039,Crawford County,10215,23912,1436
42041,Cumberland County,44282,65649,5137
42043,Dauphin County,64287,60620,5253
42045,Delaware County,169169,106559,9104
42047,Elk County,3637,9704,513
42049,Erie County,54820,57168,5252
42051,Fayette County,17826,34388,1212
42053,Forest County,626,1680,92
42055,Franklin County,17322,49554,2469
42057,Fulton County,904,5676,163
42059,Greene County,4157,10394,404
42061,Huntingdon County,4487,14369,640
42063,Indiana County,11468,24920,1340
42065,Jefferson County,3437,14533,581
42067,Juniata County,1810,8234,358
42069,Lackawanna County,51593,48102,3045
42071,Lancaster County,90066,137145,11940
42073,Lawrence County,13933,25323,1299
42075,Lebanon County,17860,38804,2242
42077,Lehigh County,77087,70285,5659
42079,Luzerne County,51454,77508,3769
42081,Lycoming County,12926,35475,1893
42083,McKean County,3802,11159,611
42085,Mercer County,17631,30034,1929
42087,Mifflin County,3563,14050,626
42089,Monroe County,31930,31706,2308
42091,Montgomery County,251063,160803,15623
42093,Montour County,2851,5274,410
42095,Northampton County,65936,71384,5455
42097,Northumberland County,9184,24418,1369
42099,Perry County,4630,15613,910
42101,Philadelphia County,560542,105418,14267
42103,Pike County,9247,16035,784
42105,Potter County,1300,6247,230
42107,Schuylkill County,16724,43937,2089
42109,Snyder County,3991,11710,632
42111,Somerset County,7367,27347,1016
42113,Sullivan County,756,2318,94
42115,Susquehanna County,5065,13295,840
42117,Tioga County,3642,12928,764
42119,Union County,6138,10605,657
42121,Venango County,5889,15254,953
42123,Warren County,4828,12032,764
42125,Washington County,34436,58941,3568
42127,Wayne County,6398,15269,698
42129,Westmoreland County,59506,116427,5807
42131,Wyoming County,3573,8375,470
42133,York County,67428,126933,8792
