PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
101,1623,1212,1136,74.67652495378928,69.99383857054838
102,1758,1593,1335,90.61433447098976,75.93856655290102
200,1994,1409,1059,70.66198595787363,53.10932798395186
300,3235,2612,1874,80.74188562596599,57.92890262751159
400,2345,1841,1238,78.50746268656717,52.79317697228145
500,2451,2304,1854,94.00244798041616,75.64259485924113
600,3591,2993,2699,83.34725703146756,75.16012252854358
701,1284,1201,1033,93.53582554517133,80.45171339563862
702,2120,2039,1436,96.17924528301887,67.73584905660377
801,1852,1744,1357,94.16846652267819,73.27213822894169
802,1973,1812,1602,91.83983781044095,81.19614799797263
803,2436,2167,1753,88.95730706075534,71.96223316912972
900,2554,2438,1451,95.45810493343775,56.812842599843385
1000,1774,1537,1269,86.64036076662909,71.53325817361895
1100,2210,2087,1631,94.43438914027149,73.80090497737557
1200,766,741,568,96.73629242819844,74.1514360313316
1300,2033,1519,907,74.71716674864733,44.61387112641417
1400,1782,1277,772,71.66105499438832,43.32210998877666
1501,1840,1564,1146,85.0,62.28260869565217
1502,2571,2129,1760,82.80824581874757,68.45585375340335
1600,2198,1799,1423,81.84713375796179,64.74067333939945
1701,2076,1787,1449,86.07899807321773,69.79768786127167
1702,3595,2705,2155,75.24339360222531,59.944367176634216
1801,895,751,751,83.91061452513966,83.91061452513966
1802,1661,1635,1413,98.43467790487658,85.06923540036124
1803,1594,1594,1388,100.0,87.07653701380175
1804,2029,1977,1491,97.43716116313455,73.48447511089206
1805,1377,1290,769,93.68191721132898,55.84604212055192
1806,743,743,686,100.0,92.32839838492598
1807,805,805,598,100.0,74.28571428571429
1900,2946,2714,2146,92.12491513917176,72.84453496266123
2001,1843,1758,1115,95.38795442213782,60.49918610960391
2002,3316,3012,2055,90.83232810615199,61.97225572979493
2003,1593,1277,1073,80.16321406151916,67.35718769617075
2100,2902,2330,1559,80.289455547898,53.72157133011716
2200,2711,2228,1879,82.18369605311693,69.31021763187016
2301,1539,1427,987,92.72254710851202,64.13255360623782
2302,1042,1042,666,100.0,63.91554702495201
2401,700,700,340,100.0,48.57142857142857
2402,1422,1236,785,86.91983122362869,55.20393811533052
2500,1796,1796,1579,100.0,87.91759465478842
2600,2498,2402,2081,96.15692554043235,83.306645316253
2701,1462,1462,1208,100.0,82.62653898768811
2702,2440,2230,1533,91.39344262295081,62.82786885245901
2703,1184,1160,1160,97.97297297297297,97.97297297297297
2801,1545,1453,1351,94.0453074433657,87.44336569579289
2802,577,577,495,100.0,85.78856152512998
2803,1289,1132,525,87.8200155159038,40.729247478665634
2901,1533,1188,1188,77.49510763209393,77.49510763209393
2902,1363,1217,1047,89.28833455612619,76.81584739545121
3001,2003,2003,2003,100.0,100.0
3002,1087,1087,1087,100.0,100.0
3003,1555,1413,1413,90.86816720257235,90.86816720257235
3004,2686,2686,2599,100.0,96.76098287416232
3101,485,485,424,100.0,87.42268041237114
3102,671,671,671,100.0,100.0
3103,621,621,621,100.0,100.0
3104,1124,966,966,85.94306049822063,85.94306049822063
3105,851,851,761,100.0,89.42420681551117
3106,1186,1186,1186,100.0,100.0
3201,2133,2133,2133,100.0,100.0
3202,2246,2141,1721,95.32502226179875,76.62511130899377
3203,2520,2198,1515,87.22222222222223,60.11904761904761
3204,4866,4340,3486,89.19030004110152,71.6399506781751
3205,4173,3293,2348,78.91205367840882,56.26647495806374
3206,1583,1583,1197,100.0,75.61591914087177
3207,3023,2632,2139,87.06582864703937,70.75752563678465
3208,2488,2488,2198,100.0,88.34405144694534
3209,897,897,897,100.0,100.0
3210,3377,3025,2442,89.57654723127035,72.31270358306189
3211,3374,3071,1942,91.01956135151156,57.55779490219324
3301,1021,1021,1021,100.0,100.0
3302,2045,1472,1238,71.98044009779952,60.53789731051344
3303,1357,1186,1058,87.39867354458364,77.96610169491525
3304,1263,1143,1143,90.49881235154395,90.49881235154395
3401,601,601,601,100.0,100.0
3402,663,663,663,100.0,100.0
3403,906,869,869,95.91611479028698,95.91611479028698
3404,600,600,600,100.0,100.0
3501,1652,1568,1265,94.91525423728814,76.57384987893462
3502,1801,1625,1244,90.22765130483064,69.07273736812883
3503,2945,2815,2585,95.58573853989813,87.77589134125637
3504,1267,1267,1033,100.0,81.53117600631413
3601,1344,1344,1164,100.0,86.60714285714286
3602,481,381,351,79.20997920997921,72.97297297297297
3603,1421,1220,690,85.85503166783955,48.55735397607319
3701,1131,990,747,87.53315649867373,66.04774535809018
3702,977,591,560,60.49129989764586,57.31832139201638
3800,3383,2511,1762,74.22406148389004,52.08394915755247
3900,3507,2308,1179,65.81123467351013,33.61847733105218
4001,1501,1472,1100,98.06795469686875,73.28447701532312
4002,2527,2287,1665,90.50257222002375,65.88840522358528
