PUMA,WGTP,WGTPpov,PCTpov
101,22781,1967,8.63438830604451
102,47307,2105,4.4496586128902695
200,37881,2203,5.815580370106386
300,52268,3613,6.912451212979261
400,31859,2524,7.922408110737939
500,46328,2712,5.8539112415817645
600,42609,3774,8.857283672463565
701,24540,1489,6.067644661776691
702,38917,2226,5.719865354472339
801,36881,1927,5.22491255660096
802,30682,2459,8.014471025356887
803,35651,2844,7.977335839106897
900,42339,2743,6.47866033680531
1000,33608,2221,6.60854558438467
1100,38435,2358,6.135033172889293
1200,31566,766,2.4266615979218145
1300,42169,2114,5.013161327041192
1400,32412,1820,5.615204245341231
1501,31541,2194,6.956025490631242
1502,45618,2935,6.433863825682845
1600,57007,2681,4.7029312189731085
1701,33227,2829,8.514160170945315
1702,29535,3659,12.388691383104792
1801,31411,1037,3.3013912323708254
1802,49764,2173,4.36661040109316
1803,38216,1757,4.597550764077873
1804,49879,2255,4.520940676436978
1805,32580,1857,5.699815837937385
1806,38033,1165,3.0631293876370522
1807,34687,939,2.7070660477988873
1900,43593,3087,7.08141215332737
2001,30407,2154,7.083895155720723
2002,47959,3418,7.126920911612002
2003,35954,1705,4.742170551259943
2100,41229,3010,7.300686410051177
2200,50245,3203,6.37476365807543
2301,37862,1687,4.455654746183509
2302,43674,1042,2.3858588633969866
2401,36634,895,2.44308565813179
2402,33029,1642,4.971388779557358
2500,35159,1838,5.227679968144714
2600,43128,2728,6.325357076609163
2701,35825,1540,4.298674110258199
2702,26604,2647,9.949631634340701
2703,44659,1396,3.125909671062944
2801,38168,1703,4.461852861035422
2802,45809,577,1.259577812220306
2803,18254,1517,8.310507286074285
2901,40095,1533,3.823419378974934
2902,43969,1661,3.777661534262776
3001,41869,2145,5.123122118990183
3002,39853,1287,3.229367927132211
3003,46578,1763,3.7850487354545064
3004,48909,3081,6.299454088204624
3101,39685,485,1.2221242282978455
3102,33073,767,2.3191122668037374
3103,38337,711,1.854605211675405
3104,30045,1391,4.629722083541354
3105,34776,951,2.7346445824706698
3106,48505,1613,3.325430368003299
3201,36189,2604,7.195556660863798
3202,27138,2328,8.57837718328543
3203,27581,2611,9.46666183242087
3204,35186,5243,14.900812823281987
3205,30218,4448,14.719703487987292
3206,27657,1758,6.356437791517518
3207,16628,3936,23.670916526341113
3208,20959,2816,13.43575552268715
3209,29581,1020,3.448159291437071
3210,22820,3761,16.481156879929888
3211,28667,3812,13.297519796281437
3301,36591,1021,2.7903036265748407
3302,38194,2045,5.354244122113421
3303,33711,1451,4.3042330396606445
3304,34874,1428,4.0947410678442395
3401,32834,1009,3.0730340500700493
3402,35722,1194,3.342478024746655
3403,42343,906,2.1396688945044042
3404,30963,806,2.6031069340826147
3501,25317,1743,6.8847019789074535
3502,30154,2018,6.692312794322477
3503,43486,3148,7.239111438164008
3504,34115,1267,3.7139088377546536
3601,38398,1589,4.138236366477421
3602,38884,481,1.2370126530192367
3603,42981,1709,3.9761755194155555
3701,37500,1305,3.4799999999999995
3702,35480,1266,3.568207440811725
3800,41337,3641,8.808089604954398
3900,39621,4119,10.396002120087832
4001,45007,1581,3.512786899815584
4002,29107,2668,9.166179956711444
