PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
100,20981,5888,2208,28.06348601115295,10.523807254182357
200,47631,11574,4411,24.299300875480252,9.26077554533812
300,37658,9971,3450,26.477773647033832,9.16139996813426
400,29520,5368,2246,18.18428184281843,7.608401084010841
500,31283,7808,1868,24.959243039350447,5.971294313205256
600,44122,17253,6138,39.102941843071484,13.91142740582929
700,35642,12030,4655,33.75231468492228,13.06043431906178
801,23894,7118,2694,29.789905415585505,11.274797020172429
802,36391,11037,4028,30.328927482069744,11.068670825204034
901,23782,6676,2705,28.07165082835758,11.37414851568413
902,31302,9692,2888,30.96287777138841,9.226247524119865
903,47088,11210,4718,23.80648997621475,10.019537886510363
1000,31170,8186,2917,26.262431825473207,9.358357394931023
1100,32455,6273,2381,19.328300724079494,7.336311816361116
1200,49619,12411,5490,25.012595981378098,11.064310042524033
1300,26779,6642,2472,24.803017289667277,9.231113932559094
1400,37249,7577,2278,20.34148567746785,6.115600418803189
1500,28827,5991,2011,20.782599646165053,6.976098796267388
1600,33213,8321,2772,25.053442928973595,8.346129527594616
1701,15580,5228,2684,33.555840821566115,17.227214377406934
1702,16243,6961,3641,42.855383857661764,22.41580988733608
1703,29487,8851,4005,30.0166174924543,13.582256587648795
1801,37448,10220,3479,27.29117709891049,9.290215765861994
1802,27914,7531,2486,26.979293544457978,8.905925342122233
1803,33866,9931,3559,29.3243961495305,10.50906513907754
1804,48484,12780,4637,26.35921128619751,9.563979869647719
1805,29315,7073,2375,24.127579737335836,8.101654443117857
1806,29328,9416,4224,32.10583742498636,14.402618657937808
1807,39365,10029,4660,25.47694652610187,11.837927092594946
1900,51090,11510,4187,22.528870620473672,8.19534155412018
2001,33746,9003,3488,26.67871747762698,10.336039826942454
2002,46409,12861,4861,27.712297183735913,10.474261457906872
2101,31559,8026,2387,25.43173104344244,7.563611014290695
2102,44367,11452,3794,25.81197737056822,8.551400815921744
2103,34306,9561,3048,27.869760391768207,8.884743193610447
2201,42192,10919,3348,25.87931361395525,7.935153583617748
2202,28385,5511,1481,19.41518407609653,5.217544477717104
2300,39448,9703,3352,24.596937740823364,8.497262218616914
2400,44308,8532,3103,19.256116276970296,7.003249977430712
2501,36598,7057,2188,19.282474452155856,5.978468768785179
2502,29346,4909,1450,16.72800381653377,4.9410481837388405
2600,35495,7205,2036,20.29863361036766,5.736019157627835
2700,31500,6777,3094,21.514285714285712,9.822222222222223
2801,32471,8550,2823,26.331187829139846,8.693911490252841
2802,29193,6377,1967,21.84427773781386,6.737916623848182
2900,31929,7752,1413,24.27886874001691,4.425443953772432
3001,29412,7118,2323,24.201006391948866,7.898136814905481
3002,33293,7217,2725,21.677229447631635,8.184903733517556
3101,32990,7357,2088,22.30069718096393,6.329190663837527
3102,34820,7689,1933,22.082136703044227,5.551407237219989
3201,34420,9357,2318,27.18477629285299,6.734456711214411
3202,50821,13741,4422,27.0380354577832,8.701127486668897
3203,25968,6963,2279,26.8137707948244,8.77618607516944
3301,36170,7713,2435,21.32430190765828,6.7320984241083766
3302,36805,8420,2647,22.87732645021057,7.191957614454559
3303,40446,11249,2995,27.81239183108342,7.404934975028434
3401,46052,12492,3667,27.125857726048814,7.962737774689481
3402,51096,14808,3941,28.980742132456555,7.712932519179584
3500,42625,8596,4106,20.166568914956013,9.632844574780059
3600,19660,6986,2079,35.53407934893184,10.574771108850458
3701,43400,12374,4817,28.51152073732719,11.099078341013826
3702,31922,8659,2729,27.125493390138463,8.54896309755028
3801,27695,9627,2755,34.76078714569417,9.947643979057592
3802,43765,13124,3875,29.987432880155374,8.85410716325831
3901,48755,17615,6386,36.12962773048918,13.098143780125115
3902,35193,13511,4444,38.391157332424065,12.627511152786067
3903,29311,9627,2808,32.84432465627239,9.580021152468357
3904,29140,12115,3494,41.5751544269046,11.990391214824983
4001,24366,7962,3362,32.676680620536814,13.79791512763687
4002,35408,10293,3286,29.0697017623136,9.280388612742883
4003,38930,11718,3886,30.100179809915232,9.982019008476753
4004,23055,10026,4332,43.487312947299934,18.78985035783995
4005,25365,9557,4150,37.67790262172285,16.36112753794599
4006,18131,5501,2557,30.34030114169103,14.102917654845292
4101,33358,9685,3895,29.033515198752923,11.67635949397446
4102,31072,10115,3848,32.55342430484037,12.384140061791966
4103,24348,5590,1980,22.958764580253,8.132084770823065
4104,33435,13387,6614,40.038881411694334,19.781665918947212
4105,32450,11616,6886,35.79661016949153,21.220338983050848
4106,23734,8121,3805,34.216735484958285,16.031853037836015
4107,18088,6547,3669,36.1952675807165,20.284166298098185
4108,23638,8482,4318,35.882900414586686,18.267196886369405
4109,16047,6239,3512,38.87954134729233,21.88571072474606
4110,26665,7945,3280,29.795612225764113,12.300768798049878
4111,24184,9315,4857,38.517201455507774,20.08352629837909
4201,25113,8457,3451,33.675785449767055,13.741886672241469
4202,35763,13141,5755,36.744680256130636,16.092050443195483
4203,31484,11089,4470,35.221064667767756,14.197687714394613
4204,24547,8790,3995,35.808856479406856,16.27490120992382
4301,31056,13316,5474,42.877382792375066,17.626223596084493
4302,34849,13440,5300,38.56638640994003,15.208470831300755
4303,29902,11023,3624,36.86375493278042,12.119590662831918
