PUMA,WGTP,WGTPmid,PCTmid
100,20229,18695,92.41682732710466
200,52704,44894,85.18139040680023
300,36565,34651,94.76548612060714
400,30455,28869,94.79231653258906
500,33122,30348,91.62490187790593
600,46057,41798,90.75276288077816
700,47302,43177,91.27943850154327
801,24481,21362,87.25950737306482
802,39108,34828,89.05594763219801
901,24547,22779,92.79749052837414
902,35370,30962,87.53746112524739
903,48062,41913,87.20610877616413
1000,30736,28689,93.34005726184279
1100,33070,31006,93.75869368007257
1200,53298,48899,91.74640699463394
1300,33105,26714,80.69475909983386
1400,36855,34821,94.48107448107447
1500,30561,28594,93.56369228755604
1600,34310,31025,90.42553191489363
1701,18765,15687,83.59712230215828
1702,17741,13303,74.98449918268419
1703,29175,26018,89.17909168808912
1801,47446,33043,69.64338405766556
1802,28748,22404,77.93237790454988
1803,39412,31561,80.07967116614229
1804,52309,44815,85.67359345428129
1805,34900,27198,77.93123209169055
1806,35140,27836,79.2145702902675
1807,39695,35629,89.75689633455094
1900,54547,45983,84.29977817295176
2001,33012,30331,91.87871077184055
2002,43655,37858,86.72087962432711
2101,30373,26098,85.92499917690054
2102,46797,40649,86.86240570976771
2103,33845,31663,93.55296203279657
2201,47105,39385,83.61108162615434
2202,27327,25724,94.13400666007978
2300,38865,36001,92.63090183970152
2400,45571,41195,90.39740185644379
2501,36945,33810,91.51441331709297
2502,27359,25711,93.97638802587814
2600,36730,33576,91.41301388510755
2700,32373,30094,92.96018286843974
2801,35658,30582,85.76476527006562
2802,34942,31514,90.18945681414917
2900,35175,30257,86.0184790334044
3001,31295,24896,79.552644192363
3002,37539,30324,80.77998881163589
3101,43991,34447,78.30465322452321
3102,40706,36696,90.14887240210288
3201,41378,36429,88.03953791870076
3202,58881,49209,83.57364854537117
3203,29982,25379,84.64745513975052
3301,42210,35299,83.62710258232646
3302,45404,39175,86.28094441018412
3303,45181,40617,89.89840862309377
3401,51565,44958,87.18704547658295
3402,57435,50518,87.9568207538957
3500,46627,42722,91.62502412765136
3600,19420,17558,90.4119464469619
3701,51154,40621,79.40923485944403
3702,38987,33100,84.90009490342935
3801,31821,26121,82.08730083906855
3802,50092,42138,84.12121696079214
3901,62139,44167,71.07774505544022
3902,46910,31701,67.5783415050096
3903,37444,26689,71.27710714667236
3904,33782,29625,87.6946302764786
4001,33142,23157,69.87206565687045
4002,49916,35632,71.3839249939899
4003,50686,36871,72.74395296531586
4004,29948,19683,65.72392146387071
4005,32166,20943,65.10912143256856
4006,28787,17107,59.426129850279644
4101,35913,31634,88.08509453401275
4102,27986,26083,93.20017151432859
4103,26569,24953,93.91772366291544
4104,35002,31802,90.85766527626993
4105,29294,27588,94.17628183245715
4106,31796,22334,70.2415398163291
4107,15828,14598,92.22896133434419
4108,24183,21975,90.86961915395112
4109,25509,12158,47.661609627974435
4110,29246,25411,86.8870956712029
4111,24090,21955,91.13740141137401
4201,36790,23905,64.97689589562381
4202,40108,31458,78.43323027824873
4203,34970,30901,88.364312267658
4204,33810,22585,66.79976338361432
4301,44184,27115,61.368368640231765
4302,53188,33275,62.56110400842295
4303,40360,30733,76.14717542120913
