id,PUMA,WGTP,WGTPmid,PCTmid
79500US4200101,101,22781,21012,92.23475703
79500US4200102,102,47290,39493,83.51237048
79500US4200200,200,37863,34622,91.44019227
79500US4200300,300,52242,47899,91.68676544
79500US4200400,400,31822,28314,88.97618
79500US4200500,500,46192,38825,84.05135088
79500US4200600,600,42512,35949,84.56200602
79500US4200701,701,24119,21181,87.81873212
79500US4200702,702,38744,31610,81.58682635
79500US4200801,801,36833,31309,85.00257921
79500US4200802,802,30576,26815,87.69950288
79500US4200803,803,35651,30423,85.33561471
79500US4200900,900,42299,36367,85.9760278
79500US4201000,1000,33569,30421,90.62230034
79500US4201100,1100,38413,34455,89.6961966
79500US4201200,1200,31531,23648,74.99920713
79500US4201300,1300,42142,39513,93.76156803
79500US4201400,1400,32389,28949,89.37911019
79500US4201501,1501,31442,26948,85.70701609
79500US4201502,1502,45519,39890,87.63373536
79500US4201600,1600,57007,46590,81.72680548
79500US4201701,1701,33227,23452,70.58115388
79500US4201702,1702,29535,24917,84.36431353
79500US4201801,1801,31255,24098,77.1012638
79500US4201802,1802,49674,33991,68.42815155
79500US4201803,1803,38216,29322,76.72702533
79500US4201804,1804,49879,42191,84.58669981
79500US4201805,1805,32493,28970,89.15766473
79500US4201806,1806,37875,27585,72.83168317
79500US4201807,1807,34538,25367,73.44663849
79500US4201900,1900,43529,38145,87.63123435
79500US4202001,2001,30407,24837,81.68184957
79500US4202002,2002,47959,39624,82.62057174
79500US4202003,2003,35954,31053,86.36869333
79500US4202100,2100,41194,37372,90.7219498
79500US4202200,2200,50150,45225,90.17946162
79500US4202301,2301,37832,32113,84.88316769
79500US4202302,2302,43519,34295,78.80466003
79500US4202401,2401,36310,29189,80.38832278
79500US4202402,2402,32851,27805,84.63973699
79500US4202500,2500,35013,30050,85.8252649
79500US4202600,2600,43128,38183,88.53413096
79500US4202701,2701,35825,29349,81.92323796
79500US4202702,2702,26604,23289,87.53946775
79500US4202703,2703,44659,36720,82.22306814
79500US4202801,2801,38168,30601,80.17449172
79500US4202802,2802,45809,34252,74.77133314
79500US4202803,2803,18120,15044,83.02428256
79500US4202901,2901,40095,30790,76.79261753
79500US4202902,2902,43600,36743,84.27293578
79500US4203001,3001,41869,29762,71.08361795
79500US4203002,3002,39739,22806,57.38946627
79500US4203003,3003,46492,32370,69.6248817
79500US4203004,3004,48810,35784,73.31284573
79500US4203101,3101,39685,28527,71.88358322
79500US4203102,3102,32984,22961,69.61253941
79500US4203103,3103,38280,19514,50.97701149
79500US4203104,3104,30045,17341,57.7167582
79500US4203105,3105,34345,20527,59.76706944
79500US4203106,3106,48346,28679,59.32031606
79500US4203201,3201,36067,29952,83.0454432
79500US4203202,3202,27051,23627,87.34242727
79500US4203203,3203,27322,24549,89.85066979
79500US4203204,3204,34708,32289,93.03042526
79500US4203205,3205,30067,26929,89.56330861
79500US4203206,3206,27657,20496,74.1078208
79500US4203207,3207,16628,14946,89.88453211
79500US4203208,3208,20854,18664,89.49841757
79500US4203209,3209,29581,11941,40.36712755
79500US4203210,3210,22820,18611,81.55565294
79500US4203211,3211,28582,23131,80.92855643
79500US4203301,3301,36591,22770,62.22841682
79500US4203302,3302,38089,29154,76.54178372
79500US4203303,3303,33711,27756,82.33514283
79500US4203304,3304,34874,23336,66.91518036
79500US4203401,3401,32834,17013,51.81519157
79500US4203402,3402,35668,20826,58.38847146
79500US4203403,3403,41833,28834,68.92644563
79500US4203404,3404,30751,20215,65.73769959
79500US4203501,3501,25317,21103,83.35505787
79500US4203502,3502,30154,25458,84.42661007
79500US4203503,3503,42779,35710,83.47553706
79500US4203504,3504,34032,25294,74.32416549
79500US4203601,3601,38232,32292,84.46327684
79500US4203602,3602,38884,33429,85.97109351
79500US4203603,3603,42935,37034,86.25596832
79500US4203701,3701,37500,31600,84.26666667
79500US4203702,3702,35480,30920,87.14768884
79500US4203800,3800,41337,37508,90.73711203
79500US4203900,3900,39491,35282,89.34187536
79500US4204001,4001,45007,33842,75.19274779
79500US4204002,4002,29107,24411,83.86642388
