PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
100,15780,6805,4299,43.124207858048166,27.243346007604565
200,14330,5800,3544,40.47452896022331,24.73133286810886
300,10752,3970,1680,36.923363095238095,15.625
400,8642,3552,1553,41.10159685258042,17.970377227493636
500,9008,4273,2089,47.435612788632326,23.1904973357016
600,7985,3312,2516,41.47777082028804,31.5090795241077
700,12589,6002,4492,47.676543013742155,35.68194455477004
801,17785,7280,3879,40.933370818105146,21.81051447849311
802,9423,4076,2534,43.255863313169904,26.89164809508649
901,18795,9507,5788,50.582601755786115,30.79542431497739
902,7839,2392,1134,30.514096185737976,14.46613088404133
903,15802,6390,3048,40.43791925072775,19.288697633210987
1000,15090,6602,3063,43.75082836315441,20.29821073558648
1100,10005,2937,833,29.355322338830586,8.32583708145927
1200,15155,5243,1860,34.595842956120094,12.273177169251072
1300,19182,12135,7725,63.262433531435725,40.27213012198936
1400,10234,5077,2492,49.60914598397498,24.350205198358413
1500,9933,5237,3639,52.723245746501554,36.635457565690125
1600,9573,3584,1926,37.4386294787423,20.119084926355374
1701,22184,13860,8906,62.47746123332131,40.14605120807789
1702,18846,11276,7423,59.83232516183805,39.387668470763025
1703,15734,7830,4103,49.76484047286132,26.077284860810984
1801,7346,3114,2024,42.390416553226245,27.55240947454397
1802,9509,4706,2272,49.48995688295299,23.893153854243348
1803,11852,5532,2502,46.675666554168075,21.110361120485994
1804,25163,12522,4970,49.76354170806342,19.751222032349084
1805,13561,7250,3595,53.46213406090996,26.509844406754663
1806,6041,2992,1445,49.52822380400596,23.919880814434695
1807,16248,9511,3911,58.53643525356967,24.070654849827672
1900,11608,4600,2773,39.62784286698828,23.88869745003446
2001,7227,3812,1506,52.746644527466444,20.83852220838522
2002,13894,7398,3528,53.24600546998705,25.39225564992083
2101,9015,3505,2380,38.87964503605102,26.400443704936215
2102,12934,6018,3037,46.528529457244474,23.480748415030153
2103,7197,3976,2242,55.245241072669174,31.151868834236485
2201,11550,4252,2010,36.81385281385282,17.402597402597404
2202,6298,3263,1122,51.81009844395046,17.815179422038742
2300,14808,6156,3072,41.572123176661265,20.74554294975689
2400,13662,7868,5241,57.59039672083151,38.361879666227495
2501,12842,5492,1858,42.765924310855006,14.468151378289987
2502,5837,2369,1014,40.5859174233339,17.37193763919822
2600,13667,5214,2539,38.15028901734104,18.57759566839833
2700,7229,2911,1832,40.26836353575875,25.3423710056716
2801,12187,4222,1915,34.64347255272011,15.713465167801758
2802,9698,3021,1002,31.150752732522168,10.332027222107651
2900,11948,3328,1063,27.854034147974556,8.89688650820221
3001,19534,8416,4370,43.08385379338589,22.37125012798198
3002,9945,4642,3020,46.676721970839615,30.36701860231272
3101,13851,3689,2101,26.633456068153922,15.168579885928816
3102,8937,3313,1999,37.07060534855097,22.367684905449256
3201,7382,2385,940,32.3083175291249,12.733676510430778
3202,12095,5449,2377,45.051674245556015,19.652749069863578
3203,13305,6657,2641,50.03382187147689,19.849680571213828
3301,22608,9514,4314,42.082448690728945,19.081740976645438
3302,13227,5138,1791,38.8447871777425,13.54048537083239
3303,11621,4476,1410,38.51647878840031,12.13320712503227
3401,25079,12981,5654,51.7604370190199,22.544758562941105
3402,9361,4030,1891,43.050956094434355,20.200833244311507
3500,12525,4832,2111,38.57884231536926,16.85429141716567
3600,20233,8105,4480,40.05832056541294,22.142045173726093
3701,11374,6034,3174,53.05081765429927,27.905749956040093
3702,5874,2191,657,37.299965951651345,11.18488253319714
3801,12452,6789,2925,54.52136203019595,23.49020237712817
3802,8169,3767,1132,46.11335536785408,13.857265271147018
3901,13244,5291,2827,39.95016611295681,21.345514950166113
3902,9107,5695,2441,62.53431426375315,26.803557702865927
3903,9748,5911,2475,60.638079606073035,25.389823553549444
3904,14560,7636,3765,52.44505494505495,25.858516483516485
4001,7123,4039,1861,56.703636108381296,26.126632037063036
4002,11429,4935,2530,43.179630763846355,22.13666987487969
4003,10586,5209,2322,49.206499149820516,21.934630644247118
4004,13338,8036,3909,60.24891288049182,29.3072424651372
4005,8806,5706,2100,64.79672950261187,23.84737678855326
4006,8087,5017,2489,62.03783850624459,30.77779151724991
4101,19473,10756,6018,55.23545421866174,30.904329071021415
4102,15670,7872,4515,50.23611997447352,28.8130185067007
4103,14361,7743,4738,53.91685815750993,32.99213146716802
4104,19086,10384,6915,54.40637116210835,36.23074504872682
4105,17475,11745,5563,67.21030042918454,31.83404864091559
4106,22169,13867,7440,62.551310388380166,33.560377103162075
4107,17796,10896,7978,61.2272420768712,44.83029894358283
4108,21066,13477,9312,63.9751257951201,44.20393050412988
4109,25217,15298,9023,60.665424118650115,35.781417297854624
4110,14260,6871,4892,48.18373071528752,34.305750350631136
4111,23860,12138,7671,50.87175188600168,32.150041911148364
4201,9560,4508,1896,47.15481171548117,19.8326359832636
4202,16902,9698,3986,57.377825109454506,23.583007928055853
4203,14894,8225,2991,55.223579965086614,20.0819121794011
4204,6782,3196,1898,47.12474196402241,27.98584488351519
4301,11926,5454,1548,45.73201408686903,12.98004360221365
4302,12157,5072,3659,41.720819281072636,30.097885991609775
4303,6747,2888,1433,42.80420927819772,21.23906921594783
