PUMA,WGTP,WGTPmid,PCTmid
100,15881,15780,99.36401989799131
200,14979,14330,95.66726750784431
300,10827,10752,99.30728733721253
400,8734,8642,98.94664529425235
500,9172,9008,98.21194941125164
600,8159,7985,97.86738570903297
700,13140,12589,95.80669710806697
801,18197,17785,97.73589053140628
802,9558,9423,98.58757062146893
901,19047,18795,98.67695700110254
902,8247,7839,95.05274645325574
903,16141,15802,97.89975837928257
1000,15090,15090,100.0
1100,10289,10005,97.2397706288269
1200,15574,15155,97.30961859509438
1300,20023,19182,95.79983019527543
1400,10816,10234,94.61908284023669
1500,10079,9933,98.5514435955948
1600,9573,9573,100.0
1701,22705,22184,97.70535124421933
1702,19906,18846,94.67497237013966
1703,16308,15734,96.48025508952661
1801,8443,7346,87.00698803742746
1802,10529,9509,90.31247032006839
1803,12572,11852,94.27298759147311
1804,25595,25163,98.31217034577065
1805,13792,13561,98.32511600928075
1806,6041,6041,100.0
1807,16411,16248,99.0067637560173
1900,12216,11608,95.02292075965947
2001,7276,7227,99.326553051127
2002,14286,13894,97.25605487890242
2101,9227,9015,97.70239514468409
2102,13515,12934,95.70107288198298
2103,7268,7197,99.0231150247661
2201,11897,11550,97.08329831049845
2202,6380,6298,98.71473354231975
2300,15305,14808,96.75269519764782
2400,14173,13662,96.39455302335426
2501,12872,12842,99.7669359850839
2502,6443,5837,90.59444358218222
2600,13958,13667,97.9151740937097
2700,7278,7229,99.32673811486671
2801,12187,12187,100.0
2802,10036,9698,96.6321243523316
2900,12377,11948,96.53389351215965
3001,20547,19534,95.06983987930111
3002,10319,9945,96.37561779242174
3101,14348,13851,96.53610259269585
3102,9322,8937,95.86998498176357
3201,7598,7382,97.15714661753093
3202,12800,12095,94.4921875
3203,13971,13305,95.23298260682843
3301,24253,22608,93.21733393806952
3302,13560,13227,97.54424778761062
3303,12064,11621,96.32791777188329
3401,26218,25079,95.65565641925394
3402,9519,9361,98.34016178169975
3500,12592,12525,99.46791613722998
3600,20347,20233,99.43972084336757
3701,12385,11374,91.83689947517158
3702,6114,5874,96.07458292443573
3801,13463,12452,92.49052959964347
3802,8758,8169,93.27472025576616
3901,13963,13244,94.85067678865573
3902,9560,9107,95.26150627615063
3903,10484,9748,92.97977871041587
3904,15524,14560,93.79026024220562
4001,7497,7123,95.01133786848072
4002,12931,11429,88.38450235867296
4003,11618,10586,91.11723188156309
4004,15831,13338,84.25241614553724
4005,9895,8806,88.9944416371905
4006,10916,8087,74.08391352143643
4101,20578,19473,94.63018757896783
4102,15825,15670,99.02053712480253
4103,14486,14361,99.13709788761564
4104,19557,19086,97.59165516183464
4105,18066,17475,96.72866157422784
4106,24259,22169,91.3846407518859
4107,17904,17796,99.39678284182307
4108,21410,21066,98.39327417094815
4109,31866,25217,79.13450072177243
4110,14260,14260,100.0
4111,24723,23860,96.50932330218825
4201,10572,9560,90.42754445705637
4202,18269,16902,92.51737916689474
4203,16349,14894,91.10037311150529
4204,7461,6782,90.89934325157486
4301,12748,11926,93.551929714465
4302,13726,12157,88.5691388605566
4303,7596,6747,88.82306477093206
