id,PUMA,WGTP,WGTPmid,PCTmid
79500US4200100,100,19435,18806,96.76357088
79500US4200200,200,13939,13098,93.96656862
79500US4200300,300,12662,12046,95.13504976
79500US4200400,400,7770,7709,99.21492921
79500US4200500,500,7961,7694,96.64614998
79500US4200600,600,10358,9961,96.16721375
79500US4200700,700,9290,8527,91.7868676
79500US4200801,801,18307,17380,94.93636314
79500US4200802,802,9227,8796,95.32892598
79500US4200901,901,16799,16430,97.80344068
79500US4200902,902,9362,9057,96.74214911
79500US4200903,903,16573,16341,98.60013275
79500US4201000,1000,13405,13083,97.59791123
79500US4201100,1100,11276,10979,97.36608726
79500US4201200,1200,15920,15347,96.40075377
79500US4201300,1300,21680,19917,91.86808118
79500US4201400,1400,9989,9877,98.87876664
79500US4201500,1500,7514,7320,97.41815278
79500US4201600,1600,10454,9857,94.28926727
79500US4201701,1701,20796,19399,93.28236199
79500US4201702,1702,22933,20393,88.92425762
79500US4201703,1703,17381,16124,92.76796502
79500US4201801,1801,12471,11180,89.64798332
79500US4201802,1802,13787,12104,87.79284834
79500US4201803,1803,14331,12923,90.17514479
79500US4201804,1804,24772,23016,92.91135153
79500US4201805,1805,14103,12736,90.30702687
79500US4201806,1806,7764,6834,88.02163833
79500US4201807,1807,15796,15543,98.39832869
79500US4201900,1900,15154,13924,91.88333113
79500US4202001,2001,8333,8218,98.6199448
79500US4202002,2002,17339,16626,95.88788281
79500US4202101,2101,9628,9373,97.35147486
79500US4202102,2102,15258,14574,95.51710578
79500US4202103,2103,10291,9767,94.90817219
79500US4202201,2201,10951,10427,95.21504885
79500US4202202,2202,8832,8288,93.84057971
79500US4202300,2300,12645,12234,96.74970344
79500US4202400,2400,13371,12941,96.78408496
79500US4202501,2501,11771,11656,99.02302268
79500US4202502,2502,7275,6783,93.2371134
79500US4202600,2600,13110,12740,97.17772693
79500US4202700,2700,8084,8067,99.78970807
79500US4202801,2801,10642,9938,93.38470212
79500US4202802,2802,9741,9599,98.54224412
79500US4202900,2900,13967,13498,96.64208491
79500US4203001,3001,23664,21752,91.92021636
79500US4203002,3002,12112,10490,86.60832232
79500US4203101,3101,14021,12657,90.27173525
79500US4203102,3102,11497,10330,89.84952596
79500US4203201,3201,7144,6895,96.51455767
79500US4203202,3202,14615,13064,89.38761546
79500US4203203,3203,13162,12447,94.56769488
79500US4203301,3301,25546,23967,93.81899319
79500US4203302,3302,15923,15309,96.14394272
79500US4203303,3303,13473,12862,95.46500408
79500US4203401,3401,28394,27145,95.60118335
79500US4203402,3402,12984,12223,94.13894023
79500US4203500,3500,12027,11867,98.66965993
79500US4203600,3600,23531,23078,98.07487995
79500US4203701,3701,14837,13487,90.90112556
79500US4203702,3702,7628,7239,94.90036707
79500US4203801,3801,15523,14924,96.14120982
79500US4203802,3802,9909,9368,94.54031688
79500US4203901,3901,13034,11924,91.48381157
79500US4203902,3902,7177,6835,95.23477776
79500US4203903,3903,9643,8416,87.27574406
79500US4203904,3904,14288,13385,93.6800112
79500US4204001,4001,8925,8255,92.4929972
79500US4204002,4002,14445,13536,93.70716511
79500US4204003,4003,13457,11698,86.92873597
79500US4204004,4004,17067,13090,76.69772075
79500US4204005,4005,11269,8652,76.77699885
79500US4204006,4006,12102,9110,75.27681375
79500US4204101,4101,17409,15699,90.1774944
79500US4204102,4102,16023,15004,93.64039194
79500US4204103,4103,16333,15999,97.95506031
79500US4204104,4104,20141,19933,98.96728067
79500US4204105,4105,22624,22276,98.46181047
79500US4204106,4106,21845,19125,87.54863813
79500US4204107,4107,22800,22706,99.5877193
79500US4204108,4108,23005,22679,98.58291676
79500US4204109,4109,38056,27099,71.20821947
79500US4204110,4110,16024,15440,96.3554668
79500US4204111,4111,27411,25757,93.96592609
79500US4204201,4201,9221,7225,78.35375773
79500US4204202,4202,17968,16932,94.23419412
79500US4204203,4203,17512,16829,96.09981727
79500US4204204,4204,9677,8251,85.26402811
79500US4204301,4301,12419,9340,75.20734359
79500US4204302,4302,15948,12804,80.28592927
79500US4204303,4303,12205,11399,93.39614912
