PUMA,WGTP,WGTPpov,PCTpov
100,20626,1429,6.9281489382332975
200,52892,2166,4.095137260833397
300,36628,3423,9.345309599213717
400,30455,1028,3.375472007880479
500,33350,2035,6.101949025487256
600,46196,2551,5.5221231275435105
700,47422,3858,8.13546455231749
801,24481,2179,8.900780196887382
802,39290,2004,5.100534487146857
901,24547,1899,7.736179573878682
902,35370,2405,6.799547639242295
903,48145,3133,6.507425485512515
1000,30736,2602,8.465642894325871
1100,33296,2439,7.325204228736185
1200,53414,3471,6.498296326805707
1300,33105,1414,4.2712581181090465
1400,36888,3171,8.596291476903058
1500,30561,2203,7.208533752167795
1600,34337,3224,9.389288522584966
1701,18765,1797,9.576338928856915
1702,17977,993,5.523724759414808
1703,29175,1797,6.159383033419023
1801,47479,1591,3.3509551591229805
1802,28748,898,3.1236955614303605
1803,39493,2209,5.59339629807814
1804,52752,2353,4.460494388838338
1805,34900,746,2.1375358166189113
1806,35140,810,2.305065452475811
1807,39817,2603,6.53740864454881
1900,54627,1678,3.0717410804181084
2001,33012,2394,7.251908396946565
2002,43655,2477,5.674035047531784
2101,30373,1698,5.590491554999506
2102,46797,2128,4.547300040600893
2103,33945,2259,6.6548828988068935
2201,47105,2745,5.827406857021548
2202,27327,2042,7.472463131701248
2300,38865,4189,10.778335263090185
2400,45597,3446,7.557514748777332
2501,36971,2214,5.988477455302805
2502,27359,1875,6.853320662304909
2600,36818,2123,5.766201314574393
2700,32456,2500,7.702736011831403
2801,35774,912,2.549337507687147
2802,35827,1826,5.096714768191587
2900,35473,1510,4.25675866151721
3001,31295,1125,3.594823454225915
3002,37564,2267,6.0350335427537
3101,43991,1376,3.127912527562456
3102,40818,1944,4.762604733205938
3201,41565,1930,4.643329724527848
3202,58969,1889,3.2033780460920145
3203,29982,1120,3.7355746781402175
3301,42210,2682,6.353944562899787
3302,45404,1599,3.521716148356973
3303,45802,2425,5.294528623204227
3401,51565,2925,5.672452244739649
3402,57572,1429,2.4821093587160425
3500,46698,3758,8.04745385241338
3600,19486,1083,5.557836395360772
3701,51235,2447,4.7760320093685955
3702,38987,2217,5.6865108882448
3801,31881,1153,3.616574135064772
3802,50212,833,1.6589659842268778
3901,62139,2070,3.331241249456863
3902,46910,1373,2.926881261991047
3903,37478,1711,4.565345002401409
3904,33782,718,2.1253922207092537
4001,33228,457,1.3753460936559527
4002,50350,1042,2.0695134061569016
4003,50817,1299,2.5562311824783044
4004,29948,1005,3.3558167490316553
4005,32270,985,3.0523706228695384
4006,28787,169,0.5870705526800292
4101,36169,1114,3.079985623047361
4102,28087,2610,9.292555274682238
4103,26769,2780,10.385146998393664
4104,35002,6938,19.821724472887265
4105,29480,7925,26.882632293080057
4106,31796,2751,8.652031702100892
4107,15828,4032,25.473843821076574
4108,24280,5835,24.032125205930807
4109,25509,1569,6.150770316358932
4110,29420,5957,20.248130523453433
4111,24090,4312,17.899543378995432
4201,36848,1159,3.1453538862353447
4202,40108,2143,5.34307370100728
4203,35378,2196,6.207247441913053
4204,33916,428,1.2619412666588041
4301,44184,1022,2.3130544993662863
4302,53188,1144,2.1508610964879296
4303,40502,1074,2.651720902671473
