PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
100,8342,7740,6401,92.78350515463917,76.73219851354591
200,2935,2692,2176,91.7206132879046,74.1396933560477
300,4085,3816,2372,93.41493268053856,58.06609547123623
400,2037,1998,1349,98.08541973490426,66.22484045164457
500,2227,1846,1095,82.89178266726537,49.1692860350247
600,2127,2102,1901,98.82463563704749,89.37470615890926
700,2245,2245,2072,100.0,92.29398663697104
801,3322,2937,2617,88.41059602649007,78.77784467188441
802,1751,1310,860,74.81439177612793,49.114791547687034
901,5987,5252,3736,87.72340070151996,62.401870719893104
902,1820,1820,1471,100.0,80.82417582417582
903,3484,3325,2076,95.43628013777268,59.58668197474167
1000,4027,3713,2593,92.20263223243109,64.39036503600695
1100,1838,1334,865,72.57889009793253,47.062023939064204
1200,3375,3161,2672,93.65925925925926,79.17037037037036
1300,6628,6466,5936,97.55582377791188,89.55944477972238
1400,3929,3446,2200,87.70679562229576,55.993891575464495
1500,2260,2092,1924,92.56637168141593,85.13274336283186
1600,2499,1908,1463,76.35054021608644,58.543417366946784
1701,6286,5429,4582,86.36652879414572,72.89214126630608
1702,6106,5567,4590,91.17261709793645,75.17196200458565
1703,4438,3668,3300,82.64984227129337,74.3578188373141
1801,2315,2046,1582,88.38012958963283,68.33693304535637
1802,2750,2289,2193,83.23636363636365,79.74545454545454
1803,1443,1248,791,86.48648648648648,54.81635481635482
1804,5601,4247,3426,75.82574540260669,61.167648634172465
1805,1495,1495,1314,100.0,87.89297658862876
1806,1090,1018,1018,93.39449541284404,93.39449541284404
1807,5041,4019,2704,79.72624479269986,53.640150763737346
1900,3111,2816,2305,90.51751848280296,74.09193185470909
2001,2802,2004,1743,71.5203426124197,62.20556745182013
2002,5302,4767,3633,89.90946812523576,68.52131271218408
2101,2851,2694,2144,94.49316029463346,75.20168361978253
2102,2402,1859,1483,77.39383846794338,61.740216486261446
2103,2936,2607,2069,88.79427792915531,70.4700272479564
2201,2039,1932,1515,94.75232957332025,74.3011280039235
2202,3469,3267,2358,94.17699625252234,67.97347938887287
2300,4577,3673,2590,80.24907144417742,56.58728424732358
2400,3826,3588,2873,93.77940407736538,75.09147935180344
2501,3299,3037,2240,92.05819945438012,67.89936344346772
2502,2228,2164,867,97.12746858168761,38.91382405745063
2600,3504,2843,2460,81.13584474885845,70.2054794520548
2700,2756,2428,1803,88.09869375907112,65.42089985486213
2801,1576,1546,1340,98.09644670050761,85.0253807106599
2802,2314,2008,1646,86.7761452031115,71.13223854796888
2900,1810,1785,1655,98.61878453038673,91.4364640883978
3001,8556,7006,5758,81.88405797101449,67.29780271154745
3002,2381,2171,2079,91.18017639647206,87.3162536749265
3101,2633,2633,2633,100.0,100.0
3102,2272,2029,1600,89.30457746478874,70.4225352112676
3201,1259,1156,1103,91.81890389197777,87.60921366163622
3202,2592,2485,2364,95.87191358024691,91.20370370370371
3203,3625,3310,2753,91.3103448275862,75.9448275862069
3301,6719,5989,5112,89.13528798928412,76.08275040928709
3302,2938,2846,2358,96.86861810755616,80.25867937372362
3303,1764,1632,1508,92.51700680272108,85.4875283446712
3401,9349,8887,7430,95.05829500481336,79.4737405070061
3402,2075,1940,1910,93.49397590361446,92.04819277108433
3500,3216,2698,1374,83.89303482587064,42.723880597014926
3600,6424,5630,5007,87.640099626401,77.94209215442092
3701,2397,2397,1748,100.0,72.92448894451398
3702,2135,1990,1583,93.20843091334895,74.14519906323184
3801,5180,3978,2828,76.79536679536679,54.59459459459459
3802,995,861,811,86.53266331658291,81.50753768844221
3901,1078,1078,1002,100.0,92.94990723562152
3902,1073,1073,1019,100.0,94.96738117427772
3903,749,749,692,100.0,92.38985313751668
3904,1482,1301,1085,87.7867746288799,73.21187584345479
4001,1293,952,645,73.62722351121424,49.88399071925754
4002,1212,1212,1212,100.0,100.0
4003,1284,1284,1284,100.0,100.0
4004,2683,2683,2603,100.0,97.01826313827804
4005,1701,1292,1202,75.95532039976484,70.66431510875955
4006,978,888,888,90.79754601226993,90.79754601226993
4101,2615,2176,2028,83.21223709369025,77.55258126195028
4102,4576,3951,3762,86.34178321678321,82.21153846153845
4103,6112,5760,5360,94.24083769633508,87.69633507853402
4104,5629,5194,4073,92.27216201812045,72.35743471309291
4105,10284,10284,9006,100.0,87.57292882147024
4106,4258,3883,3611,91.1930483795209,84.8050728041334
4107,10935,7902,6197,72.26337448559671,56.671239140374944
4108,9090,7563,7017,83.2013201320132,77.1947194719472
4109,4856,4343,3995,89.43574958813838,82.26935749588138
4110,4198,3866,3316,92.09147212958551,78.98999523582658
4111,8133,7307,6218,89.84384605926472,76.45395303086192
4201,446,446,446,100.0,100.0
4202,3196,3118,2912,97.55944931163954,91.11389236545682
4203,3844,3672,3236,95.52549427679502,84.1831425598335
4204,365,365,365,100.0,100.0
4301,404,404,404,100.0,100.0
4302,1731,1731,1731,100.0,100.0
4303,2217,1876,1641,84.61885430762291,74.01894451962112
