county,GEOID,cand,votes
Philadelphia County,42101,Hillary Clinton,560542
Philadelphia County,42101,Donald Trump,105418
Philadelphia County,42101,Gary Johnson,6786
Philadelphia County,42101,Jill Stein,6452
Philadelphia County,42101,Darrell Castle,1029
Allegheny County,42003,Hillary Clinton,363017
Allegheny County,42003,Donald Trump,257488
Allegheny County,42003,Gary Johnson,15854
Allegheny County,42003,Jill Stein,5021
Allegheny County,42003,Darrell Castle,1793
Montgomery County,42091,Hillary Clinton,251063
Montgomery County,42091,Donald Trump,160803
Montgomery County,42091,Gary Johnson,10764
Montgomery County,42091,Jill Stein,3650
Montgomery County,42091,Darrell Castle,1209
Bucks County,42017,Hillary Clinton,165861
Bucks County,42017,Donald Trump,163873
Bucks County,42017,Gary Johnson,8500
Bucks County,42017,Jill Stein,3138
Bucks County,42017,Darrell Castle,1200
Delaware County,42045,Hillary Clinton,169169
Delaware County,42045,Donald Trump,106559
Delaware County,42045,Gary Johnson,5650
Delaware County,42045,Jill Stein,2512
Delaware County,42045,Darrell Castle,942
Chester County,42029,Hillary Clinton,140188
Chester County,42029,Donald Trump,115582
Chester County,42029,Gary Johnson,7818
Chester County,42029,Jill Stein,2231
Chester County,42029,Darrell Castle,818
Lancaster County,42071,Donald Trump,137145
Lancaster County,42071,Hillary Clinton,90066
Lancaster County,42071,Gary Johnson,8437
Lancaster County,42071,Jill Stein,1992
Lancaster County,42071,Darrell Castle,1511
York County,42133,Donald Trump,126933
York County,42133,Hillary Clinton,67428
York County,42133,Gary Johnson,6376
York County,42133,Jill Stein,1542
York County,42133,Darrell Castle,874
Westmoreland County,42129,Donald Trump,116427
Westmoreland County,42129,Hillary Clinton,59506
Westmoreland County,42129,Gary Johnson,4323
Westmoreland County,42129,Jill Stein,932
Westmoreland County,42129,Darrell Castle,552
Berks County,42011,Donald Trump,93094
Berks County,42011,Hillary Clinton,75169
Berks County,42011,Gary Johnson,5016
Berks County,42011,Jill Stein,1906
Berks County,42011,Darrell Castle,749
Lehigh County,42077,Hillary Clinton,77087
Lehigh County,42077,Donald Trump,70285
Lehigh County,42077,Gary Johnson,3795
Lehigh County,42077,Jill Stein,1338
Lehigh County,42077,Darrell Castle,526
Northampton County,42095,Donald Trump,71384
Northampton County,42095,Hillary Clinton,65936
Northampton County,42095,Gary Johnson,3647
Northampton County,42095,Jill Stein,1363
Northampton County,42095,Darrell Castle,445
Luzerne County,42079,Donald Trump,77508
Luzerne County,42079,Hillary Clinton,51454
Luzerne County,42079,Gary Johnson,2287
Luzerne County,42079,Jill Stein,1164
Luzerne County,42079,Darrell Castle,318
Dauphin County,42043,Hillary Clinton,64287
Dauphin County,42043,Donald Trump,60620
Dauphin County,42043,Gary Johnson,3459
Dauphin County,42043,Jill Stein,1168
Dauphin County,42043,Darrell Castle,626
Erie County,42049,Donald Trump,57168
Erie County,42049,Hillary Clinton,54820
Erie County,42049,Gary Johnson,3689
Erie County,42049,Jill Stein,1104
Erie County,42049,Darrell Castle,459
Cumberland County,42041,Donald Trump,65649
Cumberland County,42041,Hillary Clinton,44282
Cumberland County,42041,Gary Johnson,3720
Cumberland County,42041,Jill Stein,908
Cumberland County,42041,Darrell Castle,509
Lackawanna County,42069,Hillary Clinton,51593
Lackawanna County,42069,Donald Trump,48102
Lackawanna County,42069,Gary Johnson,1903
Lackawanna County,42069,Jill Stein,889
Lackawanna County,42069,Darrell Castle,253
Washington County,42125,Donald Trump,58941
Washington County,42125,Hillary Clinton,34436
Washington County,42125,Gary Johnson,2553
Washington County,42125,Jill Stein,708
Washington County,42125,Darrell Castle,307
Butler County,42019,Donald Trump,61388
Butler County,42019,Hillary Clinton,26834
Butler County,42019,Gary Johnson,2856
Butler County,42019,Jill Stein,587
Butler County,42019,Darrell Castle,362
Beaver County,42007,Donald Trump,46081
Beaver County,42007,Hillary Clinton,30225
Beaver County,42007,Gary Johnson,1914
Beaver County,42007,Jill Stein,477
Beaver County,42007,Darrell Castle,339
Centre County,42027,Hillary Clinton,36555
Centre County,42027,Donald Trump,35099
Centre County,42027,Gary Johnson,2609
Centre County,42027,Jill Stein,789
Centre County,42027,Darrell Castle,342
Franklin County,42055,Donald Trump,49554
Franklin County,42055,Hillary Clinton,17322
Franklin County,42055,Gary Johnson,1689
Franklin County,42055,Jill Stein,449
Franklin County,42055,Darrell Castle,331
Monroe County,42089,Hillary Clinton,31930
Monroe County,42089,Donald Trump,31706
Monroe County,42089,Gary Johnson,1407
Monroe County,42089,Jill Stein,728
Monroe County,42089,Darrell Castle,173
Schuylkill County,42107,Donald Trump,43937
Schuylkill County,42107,Hillary Clinton,16724
Schuylkill County,42107,Gary Johnson,1406
Schuylkill County,42107,Jill Stein,448
Schuylkill County,42107,Darrell Castle,235
Cambria County,42021,Donald Trump,40510
Cambria County,42021,Hillary Clinton,17798
Cambria County,42021,Gary Johnson,1216
Cambria County,42021,Jill Stein,395
Cambria County,42021,Darrell Castle,248
Lebanon County,42075,Donald Trump,38804
Lebanon County,42075,Hillary Clinton,17860
Lebanon County,42075,Gary Johnson,1557
Lebanon County,42075,Jill Stein,406
Lebanon County,42075,Darrell Castle,279
Fayette County,42051,Donald Trump,34388
Fayette County,42051,Hillary Clinton,17826
Fayette County,42051,Gary Johnson,839
Fayette County,42051,Jill Stein,230
Fayette County,42051,Darrell Castle,143
Blair County,42013,Donald Trump,37224
Blair County,42013,Hillary Clinton,13093
Blair County,42013,Gary Johnson,1188
Blair County,42013,Jill Stein,325
Blair County,42013,Darrell Castle,199
Lycoming County,42081,Donald Trump,35475
Lycoming County,42081,Hillary Clinton,12926
Lycoming County,42081,Gary Johnson,1291
Lycoming County,42081,Jill Stein,380
Lycoming County,42081,Darrell Castle,222
Mercer County,42085,Donald Trump,30034
Mercer County,42085,Hillary Clinton,17631
Mercer County,42085,Gary Johnson,1297
Mercer County,42085,Jill Stein,400
Mercer County,42085,Darrell Castle,232
Adams County,42001,Donald Trump,31249
Adams County,42001,Hillary Clinton,14077
Adams County,42001,Gary Johnson,1222
Adams County,42001,Jill Stein,399
Adams County,42001,Darrell Castle,191
Lawrence County,42073,Donald Trump,25323
Lawrence County,42073,Hillary Clinton,13933
Lawrence County,42073,Gary Johnson,860
Lawrence County,42073,Jill Stein,244
Lawrence County,42073,Darrell Castle,195
Indiana County,42063,Donald Trump,24920
Indiana County,42063,Hillary Clinton,11468
Indiana County,42063,Gary Johnson,924
Indiana County,42063,Jill Stein,220
Indiana County,42063,Darrell Castle,196
Somerset County,42111,Donald Trump,27347
Somerset County,42111,Hillary Clinton,7367
Somerset County,42111,Gary Johnson,676
Somerset County,42111,Darrell Castle,174
Somerset County,42111,Jill Stein,166
Crawford County,42039,Donald Trump,23912
Crawford County,42039,Hillary Clinton,10215
Crawford County,42039,Gary Johnson,986
Crawford County,42039,Jill Stein,250
Crawford County,42039,Darrell Castle,200
Northumberland County,42097,Donald Trump,24418
Northumberland County,42097,Hillary Clinton,9184
Northumberland County,42097,Gary Johnson,907
Northumberland County,42097,Jill Stein,287
Northumberland County,42097,Darrell Castle,175
Clearfield County,42033,Donald Trump,23909
Clearfield County,42033,Hillary Clinton,7700
Clearfield County,42033,Gary Johnson,741
Clearfield County,42033,Jill Stein,212
Clearfield County,42033,Darrell Castle,130
Armstrong County,42005,Donald Trump,22676
Armstrong County,42005,Hillary Clinton,6849
Armstrong County,42005,Gary Johnson,661
Armstrong County,42005,Jill Stein,136
Armstrong County,42005,Darrell Castle,124
Carbon County,42025,Donald Trump,18714
Carbon County,42025,Hillary Clinton,8917
Carbon County,42025,Gary Johnson,686
Carbon County,42025,Jill Stein,265
Carbon County,42025,Darrell Castle,139
Columbia County,42037,Donald Trump,17387
Columbia County,42037,Hillary Clinton,8502
Columbia County,42037,Gary Johnson,841
Columbia County,42037,Jill Stein,259
Columbia County,42037,Darrell Castle,138
Pike County,42103,Donald Trump,16035
Pike County,42103,Hillary Clinton,9247
Pike County,42103,Gary Johnson,487
Pike County,42103,Jill Stein,226
Pike County,42103,Darrell Castle,71
Bradford County,42015,Donald Trump,17957
Bradford County,42015,Hillary Clinton,6263
Bradford County,42015,Gary Johnson,875
Bradford County,42015,Darrell Castle,168
Bradford County,42015,Jill Stein,136
Bedford County,42009,Donald Trump,19455
Bedford County,42009,Hillary Clinton,3613
Bedford County,42009,Gary Johnson,259
Bedford County,42009,Jill Stein,100
Bedford County,42009,Darrell Castle,77
Wayne County,42127,Donald Trump,15269
Wayne County,42127,Hillary Clinton,6398
Wayne County,42127,Gary Johnson,420
Wayne County,42127,Jill Stein,193
Wayne County,42127,Darrell Castle,85
Venango County,42121,Donald Trump,15254
Venango County,42121,Hillary Clinton,5889
Venango County,42121,Gary Johnson,688
Venango County,42121,Jill Stein,142
Venango County,42121,Darrell Castle,123
Perry County,42099,Donald Trump,15613
Perry County,42099,Hillary Clinton,4630
Perry County,42099,Gary Johnson,619
Perry County,42099,Jill Stein,163
Perry County,42099,Darrell Castle,128
Huntingdon County,42061,Donald Trump,14369
Huntingdon County,42061,Hillary Clinton,4487
Huntingdon County,42061,Gary Johnson,414
Huntingdon County,42061,Darrell Castle,130
Huntingdon County,42061,Jill Stein,96
Susquehanna County,42115,Donald Trump,13295
Susquehanna County,42115,Hillary Clinton,5065
Susquehanna County,42115,Gary Johnson,559
Susquehanna County,42115,Jill Stein,192
Susquehanna County,42115,Darrell Castle,89
Jefferson County,42065,Donald Trump,14533
Jefferson County,42065,Hillary Clinton,3437
Jefferson County,42065,Gary Johnson,404
Jefferson County,42065,Jill Stein,106
Jefferson County,42065,Darrell Castle,71
Mifflin County,42087,Donald Trump,14050
Mifflin County,42087,Hillary Clinton,3563
Mifflin County,42087,Gary Johnson,473
Mifflin County,42087,Jill Stein,79
Mifflin County,42087,Darrell Castle,74
Warren County,42123,Donald Trump,12032
Warren County,42123,Hillary Clinton,4828
Warren County,42123,Gary Johnson,525
Warren County,42123,Jill Stein,122
Warren County,42123,Darrell Castle,117
Clarion County,42031,Donald Trump,12545
Clarion County,42031,Hillary Clinton,4256
Clarion County,42031,Gary Johnson,466
Clarion County,42031,Jill Stein,114
Clarion County,42031,Darrell Castle,100
Union County,42119,Donald Trump,10605
Union County,42119,Hillary Clinton,6138
Union County,42119,Gary Johnson,444
Union County,42119,Jill Stein,141
Union County,42119,Darrell Castle,72
Tioga County,42117,Donald Trump,12928
Tioga County,42117,Hillary Clinton,3642
Tioga County,42117,Gary Johnson,517
Tioga County,42117,Jill Stein,134
Tioga County,42117,Darrell Castle,113
Snyder County,42109,Donald Trump,11710
Snyder County,42109,Hillary Clinton,3991
Snyder County,42109,Gary Johnson,451
Snyder County,42109,Jill Stein,111
Snyder County,42109,Darrell Castle,70
McKean County,42083,Donald Trump,11159
McKean County,42083,Hillary Clinton,3802
McKean County,42083,Gary Johnson,393
McKean County,42083,Jill Stein,148
McKean County,42083,Darrell Castle,70
Greene County,42059,Donald Trump,10394
Greene County,42059,Hillary Clinton,4157
Greene County,42059,Gary Johnson,263
Greene County,42059,Jill Stein,80
Greene County,42059,Darrell Castle,61
Clinton County,42035,Donald Trump,9701
Clinton County,42035,Hillary Clinton,4533
Clinton County,42035,Gary Johnson,450
Clinton County,42035,Jill Stein,119
Clinton County,42035,Darrell Castle,36
Elk County,42047,Donald Trump,9704
Elk County,42047,Hillary Clinton,3637
Elk County,42047,Gary Johnson,371
Elk County,42047,Jill Stein,77
Elk County,42047,Darrell Castle,65
Wyoming County,42131,Donald Trump,8375
Wyoming County,42131,Hillary Clinton,3573
Wyoming County,42131,Gary Johnson,305
Wyoming County,42131,Jill Stein,112
Wyoming County,42131,Darrell Castle,53
Juniata County,42067,Donald Trump,8234
Juniata County,42067,Hillary Clinton,1810
Juniata County,42067,Gary Johnson,200
Juniata County,42067,Darrell Castle,87
Juniata County,42067,Jill Stein,71
Montour County,42093,Donald Trump,5274
Montour County,42093,Hillary Clinton,2851
Montour County,42093,Gary Johnson,287
Montour County,42093,Jill Stein,72
Montour County,42093,Darrell Castle,51
Potter County,42105,Donald Trump,6247
Potter County,42105,Hillary Clinton,1300
Potter County,42105,Gary Johnson,165
Potter County,42105,Jill Stein,34
Potter County,42105,Darrell Castle,31
Fulton County,42057,Donald Trump,5676
Fulton County,42057,Hillary Clinton,904
Fulton County,42057,Gary Johnson,93
Fulton County,42057,Jill Stein,37
Fulton County,42057,Darrell Castle,33
Sullivan County,42113,Donald Trump,2318
Sullivan County,42113,Hillary Clinton,756
Sullivan County,42113,Gary Johnson,65
Sullivan County,42113,Darrell Castle,15
Sullivan County,42113,Jill Stein,14
Forest County,42053,Donald Trump,1680
Forest County,42053,Hillary Clinton,626
Forest County,42053,Gary Johnson,60
Forest County,42053,Jill Stein,19
Forest County,42053,Darrell Castle,13
Cameron County,42023,Donald Trump,1495
Cameron County,42023,Hillary Clinton,469
Cameron County,42023,Gary Johnson,50
Cameron County,42023,Darrell Castle,6
Cameron County,42023,Jill Stein,4
