PUMA,WGTP,WGTP30,PCTburden30
101,1623,1212,74.67652495378928
102,1758,1593,90.61433447098976
200,1994,1409,70.66198595787363
300,3235,2612,80.74188562596599
400,2345,1841,78.50746268656717
500,2451,2304,94.00244798041616
600,3591,2993,83.34725703146756
701,1284,1201,93.53582554517133
702,2120,2039,96.17924528301887
801,1852,1744,94.16846652267819
802,1973,1812,91.83983781044095
803,2436,2167,88.95730706075534
900,2554,2438,95.45810493343775
1000,1774,1537,86.64036076662909
1100,2210,2087,94.43438914027149
1200,766,741,96.73629242819844
1300,2033,1519,74.71716674864733
1400,1782,1277,71.66105499438832
1501,1840,1564,85.0
1502,2571,2129,82.80824581874757
1600,2198,1799,81.84713375796179
1701,2076,1787,86.07899807321773
1702,3595,2705,75.24339360222531
1801,895,751,83.91061452513966
1802,1661,1635,98.43467790487658
1803,1594,1594,100.0
1804,2029,1977,97.43716116313455
1805,1377,1290,93.68191721132898
1806,743,743,100.0
1807,805,805,100.0
1900,2946,2714,92.12491513917176
2001,1843,1758,95.38795442213782
2002,3316,3012,90.83232810615199
2003,1593,1277,80.16321406151916
2100,2902,2330,80.289455547898
2200,2711,2228,82.18369605311693
2301,1539,1427,92.72254710851202
2302,1042,1042,100.0
2401,700,700,100.0
2402,1422,1236,86.91983122362869
2500,1796,1796,100.0
2600,2498,2402,96.15692554043235
2701,1462,1462,100.0
2702,2440,2230,91.39344262295081
2703,1184,1160,97.97297297297297
2801,1545,1453,94.0453074433657
2802,577,577,100.0
2803,1289,1132,87.8200155159038
2901,1533,1188,77.49510763209393
2902,1363,1217,89.28833455612619
3001,2003,2003,100.0
3002,1087,1087,100.0
3003,1555,1413,90.86816720257235
3004,2686,2686,100.0
3101,485,485,100.0
3102,671,671,100.0
3103,621,621,100.0
3104,1124,966,85.94306049822063
3105,851,851,100.0
3106,1186,1186,100.0
3201,2133,2133,100.0
3202,2246,2141,95.32502226179875
3203,2520,2198,87.22222222222223
3204,4866,4340,89.19030004110152
3205,4173,3293,78.91205367840882
3206,1583,1583,100.0
3207,3023,2632,87.06582864703937
3208,2488,2488,100.0
3209,897,897,100.0
3210,3377,3025,89.57654723127035
3211,3374,3071,91.01956135151156
3301,1021,1021,100.0
3302,2045,1472,71.98044009779952
3303,1357,1186,87.39867354458364
3304,1263,1143,90.49881235154395
3401,601,601,100.0
3402,663,663,100.0
3403,906,869,95.91611479028698
3404,600,600,100.0
3501,1652,1568,94.91525423728814
3502,1801,1625,90.22765130483064
3503,2945,2815,95.58573853989813
3504,1267,1267,100.0
3601,1344,1344,100.0
3602,481,381,79.20997920997921
3603,1421,1220,85.85503166783955
3701,1131,990,87.53315649867373
3702,977,591,60.49129989764586
3800,3383,2511,74.22406148389004
3900,3507,2308,65.81123467351013
4001,1501,1472,98.06795469686875
4002,2527,2287,90.50257222002375
