PUMA,WGTP,WGTPpov,PCTpov
101,20118,7345,36.509593398946215
102,17091,2970,17.377567140600316
200,12197,2915,23.899319504796264
300,15681,3606,22.99598239908169
400,9454,2238,23.67251956843664
500,10176,2442,23.99764150943396
600,11194,1898,16.95551188136502
701,16379,4824,29.452347518163503
702,10606,1895,17.86724495568546
801,13828,2526,18.267283772056697
802,16780,6343,37.80095351609059
803,14095,3475,24.654132671159985
900,16218,4023,24.805771365149834
1000,10866,1302,11.982330204307011
1100,16077,3050,18.971201094731605
1200,23207,5539,23.86779850907054
1300,13162,4050,30.770399635313783
1400,8721,2510,28.781103084508658
1501,10008,3481,34.782174260591525
1502,14924,3510,23.519163763066203
1600,14691,3192,21.727588319379212
1701,48548,13706,28.231853011452586
1702,18110,4860,26.836002208724462
1801,14285,2374,16.618830941547078
1802,11386,1695,14.886702968557877
1803,16226,2186,13.472205102921237
1804,27118,7442,27.44302677188583
1805,15214,5373,35.316156171946886
1806,17168,2822,16.437558247903077
1807,10831,2467,22.777213553688487
1900,14565,4311,29.598352214212152
2001,8318,1929,23.19067083433518
2002,15040,4049,26.92154255319149
2003,7130,1962,27.517531556802243
2100,13517,4933,36.49478434563883
2200,16762,4884,29.13733444696337
2301,14411,2879,19.977794740129067
2302,16945,1325,7.8194157568604306
2401,28160,8190,29.083806818181817
2402,10089,1441,14.282882347110714
2500,16750,2639,15.755223880597017
2600,11854,3388,28.581069681120297
2701,9372,785,8.3760136577038
2702,21757,8128,37.3580916486648
2703,8666,1179,13.604892684052619
2801,10008,1014,10.13189448441247
2802,13797,1947,14.111763426831919
2803,23429,7547,32.21221563020188
2901,22199,4429,19.951349159872066
2902,11143,810,7.269137575159293
3001,9831,983,9.998982809480216
3002,10091,916,9.077395699137845
3003,14656,1206,8.228711790393014
3004,18806,2892,15.378070828459004
3101,10716,3063,28.58342665173572
3102,12746,1849,14.506511846853915
3103,14605,1987,13.60492981855529
3104,14592,3123,21.402138157894736
3105,11554,626,5.418037043448157
3106,14415,2434,16.885189039195282
3201,19583,5079,25.93576060869121
3202,22038,6523,29.598874671022777
3203,19446,6649,34.19212177311529
3204,20528,9748,47.48636009353079
3205,23100,8584,37.16017316017316
3206,25353,5895,23.251686190983314
3207,20681,7445,35.99922634302016
3208,25708,12619,49.08588766142835
3209,39372,5226,13.273392258457786
3210,27193,9497,34.9244290810135
3211,17827,3919,21.98350816177708
3301,8603,1061,12.332907125421364
3302,21387,4013,18.763734979192968
3303,18030,5364,29.750415973377702
3304,7376,562,7.619305856832972
3401,8886,808,9.092955210443394
3402,12701,757,5.96016061727423
3403,12868,2017,15.674541498290331
3404,8391,1029,12.263139077583125
3501,19045,5677,29.80834864793909
3502,13365,2238,16.74523007856341
3503,13368,1202,8.991621783363255
3504,12185,2228,18.284776364382438
3601,22875,7008,30.636065573770495
3602,9053,1057,11.67568761736441
3603,9844,1067,10.839089800893946
3701,9861,1824,18.497109826589593
3702,12733,1748,13.72810806565617
3800,11222,3579,31.89271074674746
3900,13553,5886,43.42949900391057
4001,11311,2118,18.725134824507116
4002,9383,2755,29.361611424917406
