year,countycode,party,cand,votes,FIPS
2008,1,DEM,OBAMA,154,1
2008,1,DEM,OBAMA,167,1
2008,1,DEM,OBAMA,97,1
2008,1,DEM,OBAMA,360,1
2008,1,DEM,OBAMA,178,1
2008,1,DEM,OBAMA,333,1
2008,1,DEM,OBAMA,377,1
2008,1,DEM,OBAMA,453,1
2008,1,DEM,OBAMA,356,1
2008,1,DEM,OBAMA,547,1
2008,1,DEM,OBAMA,636,1
2008,1,DEM,OBAMA,426,1
2008,1,DEM,OBAMA,319,1
2008,1,DEM,OBAMA,536,1
2008,1,DEM,OBAMA,246,1
2008,1,DEM,OBAMA,284,1
2008,1,DEM,OBAMA,130,1
2008,1,DEM,OBAMA,441,1
2008,1,DEM,OBAMA,380,1
2008,1,DEM,OBAMA,175,1
2008,1,DEM,OBAMA,364,1
2008,1,DEM,OBAMA,540,1
2008,1,DEM,OBAMA,953,1
2008,1,DEM,OBAMA,478,1
2008,1,DEM,OBAMA,408,1
2008,1,DEM,OBAMA,382,1
2008,1,DEM,OBAMA,197,1
2008,1,DEM,OBAMA,305,1
2008,1,DEM,OBAMA,409,1
2008,1,DEM,OBAMA,253,1
2008,1,DEM,OBAMA,298,1
2008,1,DEM,OBAMA,310,1
2008,1,DEM,OBAMA,302,1
2008,1,DEM,OBAMA,217,1
2008,1,DEM,OBAMA,439,1
2008,1,DEM,OBAMA,436,1
2008,1,DEM,OBAMA,313,1
2008,1,DEM,OBAMA,427,1
2008,1,DEM,OBAMA,245,1
2008,1,DEM,OBAMA,302,1
2008,1,DEM,OBAMA,387,1
2008,1,DEM,OBAMA,464,1
2008,1,DEM,OBAMA,450,1
2008,1,DEM,OBAMA,403,1
2008,1,DEM,OBAMA,560,1
2008,1,DEM,OBAMA,366,1
2008,1,DEM,OBAMA,292,1
2008,1,DEM,OBAMA,440,1
2008,1,DEM,OBAMA,98,1
2008,1,REP,MCCAIN,200,1
2008,1,REP,MCCAIN,195,1
2008,1,REP,MCCAIN,150,1
2008,1,REP,MCCAIN,614,1
2008,1,REP,MCCAIN,286,1
2008,1,REP,MCCAIN,354,1
2008,1,REP,MCCAIN,794,1
2008,1,REP,MCCAIN,650,1
2008,1,REP,MCCAIN,560,1
2008,1,REP,MCCAIN,773,1
2008,1,REP,MCCAIN,1026,1
2008,1,REP,MCCAIN,527,1
2008,1,REP,MCCAIN,455,1
2008,1,REP,MCCAIN,619,1
2008,1,REP,MCCAIN,269,1
2008,1,REP,MCCAIN,440,1
2008,1,REP,MCCAIN,164,1
2008,1,REP,MCCAIN,684,1
2008,1,REP,MCCAIN,668,1
2008,1,REP,MCCAIN,310,1
2008,1,REP,MCCAIN,859,1
2008,1,REP,MCCAIN,311,1
2008,1,REP,MCCAIN,411,1
2008,1,REP,MCCAIN,362,1
2008,1,REP,MCCAIN,777,1
2008,1,REP,MCCAIN,667,1
2008,1,REP,MCCAIN,319,1
2008,1,REP,MCCAIN,727,1
2008,1,REP,MCCAIN,890,1
2008,1,REP,MCCAIN,364,1
2008,1,REP,MCCAIN,579,1
2008,1,REP,MCCAIN,547,1
2008,1,REP,MCCAIN,283,1
2008,1,REP,MCCAIN,228,1
2008,1,REP,MCCAIN,982,1
2008,1,REP,MCCAIN,531,1
2008,1,REP,MCCAIN,627,1
2008,1,REP,MCCAIN,732,1
2008,1,REP,MCCAIN,425,1
2008,1,REP,MCCAIN,343,1
2008,1,REP,MCCAIN,553,1
2008,1,REP,MCCAIN,696,1
2008,1,REP,MCCAIN,931,1
2008,1,REP,MCCAIN,621,1
2008,1,REP,MCCAIN,652,1
2008,1,REP,MCCAIN,573,1
2008,1,REP,MCCAIN,581,1
2008,1,REP,MCCAIN,934,1
2008,1,REP,MCCAIN,106,1
2008,1,IND,NADER,4,1
2008,1,IND,NADER,1,1
2008,1,IND,NADER,1,1
2008,1,IND,NADER,12,1
2008,1,IND,NADER,9,1
2008,1,IND,NADER,8,1
2008,1,IND,NADER,14,1
2008,1,IND,NADER,9,1
2008,1,IND,NADER,4,1
2008,1,IND,NADER,10,1
2008,1,IND,NADER,12,1
2008,1,IND,NADER,9,1
2008,1,IND,NADER,8,1
2008,1,IND,NADER,4,1
2008,1,IND,NADER,5,1
2008,1,IND,NADER,4,1
2008,1,IND,NADER,6,1
2008,1,IND,NADER,6,1
2008,1,IND,NADER,13,1
2008,1,IND,NADER,1,1
2008,1,IND,NADER,5,1
2008,1,IND,NADER,6,1
2008,1,IND,NADER,3,1
2008,1,IND,NADER,8,1
2008,1,IND,NADER,9,1
2008,1,IND,NADER,4,1
2008,1,IND,NADER,6,1
2008,1,IND,NADER,8,1
2008,1,IND,NADER,7,1
2008,1,IND,NADER,3,1
2008,1,IND,NADER,5,1
2008,1,IND,NADER,3,1
2008,1,IND,NADER,14,1
2008,1,IND,NADER,6,1
2008,1,IND,NADER,9,1
2008,1,IND,NADER,8,1
2008,1,IND,NADER,8,1
2008,1,IND,NADER,7,1
2008,1,IND,NADER,6,1
2008,1,IND,NADER,5,1
2008,1,IND,NADER,10,1
2008,1,IND,NADER,9,1
2008,1,IND,NADER,8,1
2008,1,IND,NADER,11,1
2008,1,IND,NADER,5,1
2008,1,IND,NADER,13,1
2008,1,IND,NADER,10,1
2008,1,IND,NADER,17,1
2008,1,IND,NADER,2,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,5,1
2008,1,LIB,BARR,6,1
2008,1,LIB,BARR,8,1
2008,1,LIB,BARR,4,1
2008,1,LIB,BARR,4,1
2008,1,LIB,BARR,7,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,6,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,9,1
2008,1,LIB,BARR,4,1
2008,1,LIB,BARR,5,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,4,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,5,1
2008,1,LIB,BARR,5,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,8,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,0,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,1,1
2008,1,LIB,BARR,5,1
2008,1,LIB,BARR,6,1
2008,1,LIB,BARR,2,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,3,1
2008,1,LIB,BARR,7,1
2008,1,LIB,BARR,1,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,1,1
2008,1,OTH,WRITE-IN,0,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,6,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,6,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,4,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,1,1
2008,1,OTH,WRITE-IN,6,1
2008,1,OTH,WRITE-IN,4,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,6,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,4,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,6,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,10,1
2008,1,OTH,WRITE-IN,4,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,7,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,1,1
2008,1,OTH,WRITE-IN,6,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,2,1
2008,1,OTH,WRITE-IN,4,1
2008,1,OTH,WRITE-IN,3,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,5,1
2008,1,OTH,WRITE-IN,1,1
2008,1,OTH,WRITE-IN,0,1
2008,2,DEM,OBAMA,416,3
2008,2,DEM,OBAMA,356,3
2008,2,DEM,OBAMA,241,3
2008,2,DEM,OBAMA,337,3
2008,2,DEM,OBAMA,419,3
2008,2,DEM,OBAMA,292,3
2008,2,DEM,OBAMA,176,3
2008,2,DEM,OBAMA,144,3
2008,2,DEM,OBAMA,194,3
2008,2,DEM,OBAMA,157,3
2008,2,DEM,OBAMA,341,3
2008,2,DEM,OBAMA,322,3
2008,2,DEM,OBAMA,258,3
2008,2,DEM,OBAMA,365,3
2008,2,DEM,OBAMA,355,3
2008,2,DEM,OBAMA,290,3
2008,2,DEM,OBAMA,330,3
2008,2,DEM,OBAMA,287,3
2008,2,DEM,OBAMA,287,3
2008,2,DEM,OBAMA,296,3
2008,2,DEM,OBAMA,302,3
2008,2,DEM,OBAMA,318,3
2008,2,DEM,OBAMA,341,3
2008,2,DEM,OBAMA,270,3
2008,2,DEM,OBAMA,281,3
2008,2,DEM,OBAMA,234,3
2008,2,DEM,OBAMA,340,3
2008,2,DEM,OBAMA,374,3
2008,2,DEM,OBAMA,250,3
2008,2,DEM,OBAMA,398,3
2008,2,DEM,OBAMA,392,3
2008,2,DEM,OBAMA,380,3
2008,2,DEM,OBAMA,452,3
2008,2,DEM,OBAMA,423,3
2008,2,DEM,OBAMA,384,3
2008,2,DEM,OBAMA,426,3
2008,2,DEM,OBAMA,348,3
2008,2,DEM,OBAMA,212,3
2008,2,DEM,OBAMA,396,3
2008,2,DEM,OBAMA,119,3
2008,2,DEM,OBAMA,284,3
2008,2,DEM,OBAMA,339,3
2008,2,DEM,OBAMA,291,3
2008,2,DEM,OBAMA,234,3
2008,2,DEM,OBAMA,369,3
2008,2,DEM,OBAMA,339,3
2008,2,DEM,OBAMA,240,3
2008,2,DEM,OBAMA,273,3
2008,2,DEM,OBAMA,371,3
2008,2,DEM,OBAMA,393,3
2008,2,DEM,OBAMA,329,3
2008,2,DEM,OBAMA,313,3
2008,2,DEM,OBAMA,198,3
2008,2,DEM,OBAMA,218,3
2008,2,DEM,OBAMA,481,3
2008,2,DEM,OBAMA,261,3
2008,2,DEM,OBAMA,357,3
2008,2,DEM,OBAMA,258,3
