PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
100,4987,4208,3369,84.3793864046521,67.55564467615801
200,2842,2670,2103,93.94792399718509,73.99718508092892
300,2298,1898,1435,82.5935596170583,62.445604873803305
400,2453,2123,1359,86.54708520179372,55.40154912352222
500,2640,2477,1794,93.82575757575758,67.95454545454545
600,2601,2434,2266,93.57939254133025,87.12033833141099
700,2471,2471,2471,100.0,100.0
801,5355,4364,3742,81.4939309056956,69.87861811391222
802,3291,2733,2286,83.0446672743847,69.46216955332726
901,6261,5418,4579,86.53569717297557,73.13528190384922
902,1413,1008,836,71.3375796178344,59.16489738145789
903,3118,2839,1985,91.05195638229634,63.662604233483
1000,3053,2115,1747,69.27612184736324,57.222404192597445
1100,1883,1456,737,77.32342007434944,39.13967073818375
1200,3207,2862,1601,89.2422825070159,49.92204552541316
1300,6357,6357,6113,100.0,96.16171149913481
1400,3563,3097,2305,86.92113387594723,64.69267471232108
1500,4336,3914,3425,90.26752767527675,78.98985239852398
1600,2504,1989,1284,79.43290734824281,51.2779552715655
1701,9285,7902,6651,85.10500807754443,71.63166397415186
1702,5070,4700,4355,92.70216962524654,85.8974358974359
1703,3791,3703,3128,97.67871274070166,82.51121076233184
1801,1277,1277,1183,100.0,92.63899765074393
1802,1650,1566,1249,94.9090909090909,75.6969696969697
1803,1743,1743,1528,100.0,87.6649454962708
1804,5690,4683,2945,82.30228471001757,51.757469244288224
1805,2405,2405,2229,100.0,92.68191268191268
1806,1331,1331,1245,100.0,93.53869271224643
1807,4819,4649,2788,96.47229715708653,57.85432662378087
1900,2690,2470,1897,91.82156133828995,70.52044609665428
2001,1636,1485,641,90.77017114914425,39.18092909535452
2002,4268,3800,3213,89.03467666354264,75.28116213683224
2101,2647,1774,1429,67.01926709482433,53.98564412542501
2102,3264,2759,2186,84.5281862745098,66.97303921568627
2103,3152,2841,1809,90.13324873096447,57.39213197969543
2201,2774,2017,1678,72.71088680605624,60.490266762797404
2202,2253,1808,958,80.24855747891701,42.52108300044385
2300,5447,5007,2994,91.92215898659812,54.96603635028456
2400,5475,4881,4247,89.15068493150685,77.57077625570776
2501,4023,2477,1180,61.57096694009445,29.331344767586376
2502,1395,1187,915,85.08960573476702,65.59139784946237
2600,3896,2732,2152,70.12320328542094,55.23613963039015
2700,2436,2155,1467,88.4646962233169,60.22167487684729
2801,1982,1911,1636,96.41775983854693,82.54288597376387
2802,900,900,788,100.0,87.55555555555556
2900,1893,908,908,47.966191230850505,47.966191230850505
3001,5116,4348,3232,84.98827208756842,63.17435496481626
3002,2513,2407,2078,95.78193394349384,82.6900119379228
3101,1206,997,889,82.66998341625207,73.71475953565506
3102,1441,1413,1163,98.05690492713394,80.70784177654406
3201,820,709,709,86.46341463414635,86.46341463414635
3202,1926,1846,1747,95.84631360332295,90.7061266874351
3203,2403,2058,1209,85.64294631710362,50.31210986267166
3301,4016,3309,2891,82.39541832669323,71.98705179282868
3302,714,714,656,100.0,91.87675070028011
3303,1332,1332,977,100.0,73.34834834834835
3401,5710,5536,4304,96.95271453590193,75.37653239929948
3402,1990,1791,1434,90.0,72.06030150753769
3500,4366,2614,1691,59.871736142922586,38.73110398534128
3600,6391,4065,3430,63.60506962916601,53.66922234392114
3701,1384,1147,992,82.87572254335261,71.67630057803468
3702,1245,685,519,55.020080321285135,41.68674698795181
3801,3669,3432,1968,93.54047424366311,53.63859362224039
3802,521,465,392,89.25143953934742,75.23992322456814
3901,756,756,756,100.0,100.0
3902,1031,1031,1031,100.0,100.0
3903,1498,1397,1304,93.25767690253672,87.04939919893191
3904,3118,3118,2554,100.0,81.91148171905067
4001,560,560,560,100.0,100.0
4002,1026,789,668,76.90058479532163,65.10721247563353
4003,672,672,596,100.0,88.69047619047619
4004,2813,2535,2363,90.11731247778172,84.0028439388553
4005,252,252,252,100.0,100.0
4006,1716,1716,1421,100.0,82.80885780885781
4101,5370,4697,4697,87.46741154562385,87.46741154562385
4102,2406,2130,2130,88.5286783042394,88.5286783042394
4103,4244,4074,3582,95.99434495758719,84.40150801131009
4104,6135,5552,4927,90.49714751426244,80.30969845150774
4105,8086,7770,5658,96.09201088300767,69.97279248083107
4106,4698,4336,4336,92.29459344401873,92.29459344401873
4107,9891,8284,6857,83.75290668284299,69.32564958042666
4108,9364,8993,8438,96.03801794105084,90.11106364801367
4109,5187,3464,3179,66.78234046655099,61.287834972045495
4110,3154,2578,2452,81.73747622067216,77.74254914394419
4111,6954,6042,5469,86.88524590163934,78.64538395168249
4201,487,390,390,80.08213552361396,80.08213552361396
4202,2939,2939,2410,100.0,82.00068050357264
4203,2908,2665,2041,91.64374140302614,70.1856946354883
4204,554,554,554,100.0,100.0
4301,828,828,693,100.0,83.69565217391305
4302,1244,1244,1244,100.0,100.0
4303,831,760,512,91.4560770156438,61.612515042117934
