PUMA,WGTP,WGTPpov,PCTpov
100,15881,5881,37.031673068446565
200,14979,3334,22.25782762534215
300,10853,2298,21.173868976319913
400,8734,2453,28.085642317380355
500,9172,2824,30.78935891844745
600,8159,2847,34.8939821056502
700,13140,2617,19.91628614916286
801,18197,5547,30.483046656042205
802,9558,3291,34.43188951663528
901,19047,6287,33.00782275423951
902,8363,1572,18.797082386703337
903,16141,3740,23.17080726101233
1000,15090,3328,22.054340622929093
1100,10289,1883,18.301098260277968
1200,15574,3231,20.746115320405806
1300,20023,7282,36.36817659691355
1400,10880,3587,32.96875
1500,10079,4336,43.020140886992756
1600,9573,2532,26.449388906298964
1701,22705,9616,42.35190486676944
1702,19906,5824,29.25751029840249
1703,16420,4028,24.531059683313032
1801,8443,1277,15.124955584507877
1802,10529,1650,15.671003894007029
1803,12572,1868,14.858415526566974
1804,25595,6107,23.86012893143192
1805,13792,2497,18.104698375870072
1806,6041,1331,22.032776030458535
1807,16411,4903,29.87630248004387
1900,12216,3129,25.613948919449903
2001,7276,1636,22.484881803188564
2002,14286,4268,29.875402491950158
2101,9227,2647,28.687547415194537
2102,13515,3342,24.728079911209765
2103,7268,3152,43.368189323059994
2201,11897,2882,24.22459443557199
2202,6380,2253,35.31347962382445
2300,15305,5544,36.2234563868017
2400,14173,5825,41.09927326606929
2501,12872,4113,31.953076444996892
2502,6475,1395,21.544401544401545
2600,13958,4334,31.050293738357933
2700,7278,2436,33.47073371805441
2801,12187,1982,16.263231312053826
2802,10406,900,8.64885642898328
2900,12377,1960,15.835824513209987
3001,20663,5635,27.270967429705273
3002,10319,2513,24.35313499370094
3101,14348,1295,9.025648173961526
3102,9420,1441,15.297239915074309
3201,7598,820,10.792313766780731
3202,12800,1926,15.046875000000002
3203,13971,2403,17.19991410779472
3301,24253,4342,17.902939842493712
3302,13560,859,6.33480825958702
3303,12094,1545,12.774929717215148
3401,26321,5710,21.693704646479997
3402,9519,1990,20.90555730643975
3500,12592,4392,34.87928843710292
3600,20476,6958,33.98124633717523
3701,12385,1465,11.828825191764231
3702,6114,1245,20.363101079489695
3801,13463,3764,27.95810740548169
3802,8758,702,8.015528659511304
3901,13963,1131,8.09997851464585
3902,9560,1031,10.784518828451883
3903,10484,2313,22.06219000381534
3904,15524,3852,24.813192476165938
4001,7497,560,7.469654528478058
4002,12931,1026,7.934421158456423
4003,11618,672,5.784128077121708
4004,15831,2813,17.76893436927547
4005,9895,614,6.205154118241536
4006,10916,1716,15.720043972150972
4101,20578,6445,31.319856157060936
4102,15997,2406,15.040320060011252
4103,14486,4599,31.747894518845783
4104,19557,6718,34.3508718106049
4105,18495,8086,43.71992430386591
4106,24259,4698,19.366008491693805
4107,17904,10360,57.864164432529044
4108,21410,9816,45.84773470340962
4109,31960,5461,17.086983729662077
4110,14260,3772,26.451612903225808
4111,25094,9215,36.7219255598948
4201,10572,611,5.779417328793039
4202,18269,3443,18.846132793256338
4203,16349,3452,21.114441250229373
4204,7461,761,10.199705133360139
4301,12748,912,7.154063382491371
4302,13859,1244,8.976116602929505
4303,7596,942,12.40126382306477
