year,countycode,party,cand,votes,FIPS,,,,,,
2012,1,REP,ROMNEY,195,1,,,,1,Adams County,42001
2012,1,REP,ROMNEY,200,1,,,,2,Allegheny County,42003
2012,1,REP,ROMNEY,147,1,,,,3,Armstrong County,42005
2012,1,REP,ROMNEY,649,1,,,,4,Beaver County,42007
2012,1,REP,ROMNEY,280,1,,,,5,Bedford County,42009
2012,1,REP,ROMNEY,391,1,,,,6,Berks County,42011
2012,1,REP,ROMNEY,818,1,,,,7,Blair County,42013
2012,1,REP,ROMNEY,677,1,,,,8,Bradford County,42015
2012,1,REP,ROMNEY,524,1,,,,9,Bucks County,42017
2012,1,REP,ROMNEY,798,1,,,,10,Butler County,42019
2012,1,REP,ROMNEY,1107,1,,,,11,Cambria County,42021
2012,1,REP,ROMNEY,584,1,,,,12,Cameron County,42023
2012,1,REP,ROMNEY,471,1,,,,13,Carbon County,42025
2012,1,REP,ROMNEY,685,1,,,,14,Centre County,42027
2012,1,REP,ROMNEY,273,1,,,,15,Chester County,42029
2012,1,REP,ROMNEY,443,1,,,,16,Clarion County,42031
2012,1,REP,ROMNEY,168,1,,,,17,Clearfield County,42033
2012,1,REP,ROMNEY,688,1,,,,18,Clinton County,42035
2012,1,REP,ROMNEY,640,1,,,,19,Columbia County,42037
2012,1,REP,ROMNEY,299,1,,,,20,Crawford County,42039
2012,1,REP,ROMNEY,867,1,,,,21,Cumberland County,42041
2012,1,REP,ROMNEY,323,1,,,,22,Dauphin County,42043
2012,1,REP,ROMNEY,291,1,,,,23,Delaware County,42045
2012,1,REP,ROMNEY,304,1,,,,24,Elk County,42047
2012,1,REP,ROMNEY,828,1,,,,25,Erie County,42049
2012,1,REP,ROMNEY,659,1,,,,26,Fayette County,42051
2012,1,REP,ROMNEY,329,1,,,,27,Forest County,42053
2012,1,REP,ROMNEY,728,1,,,,28,Franklin County,42055
2012,1,REP,ROMNEY,916,1,,,,29,Fulton County,42057
2012,1,REP,ROMNEY,400,1,,,,30,Greene County,42059
2012,1,REP,ROMNEY,553,1,,,,31,Huntingdon County,42061
2012,1,REP,ROMNEY,514,1,,,,32,Indiana County,42063
2012,1,REP,ROMNEY,300,1,,,,33,Jefferson County,42065
2012,1,REP,ROMNEY,241,1,,,,34,Juniata County,42067
2012,1,REP,ROMNEY,976,1,,,,35,Lackawanna County,42069
2012,1,REP,ROMNEY,534,1,,,,36,Lancaster County,42071
2012,1,REP,ROMNEY,659,1,,,,37,Lawrence County,42073
2012,1,REP,ROMNEY,744,1,,,,38,Lebanon County,42075
2012,1,REP,ROMNEY,433,1,,,,39,Lehigh County,42077
2012,1,REP,ROMNEY,342,1,,,,40,Luzerne County,42079
2012,1,REP,ROMNEY,609,1,,,,41,Lycoming County,42081
2012,1,REP,ROMNEY,684,1,,,,42,McKean County,42083
2012,1,REP,ROMNEY,995,1,,,,43,Mercer County,42085
2012,1,REP,ROMNEY,628,1,,,,44,Mifflin County,42087
2012,1,REP,ROMNEY,672,1,,,,45,Monroe County,42089
2012,1,REP,ROMNEY,563,1,,,,46,Montgomery County,42091
2012,1,REP,ROMNEY,565,1,,,,47,Montour County,42093
2012,1,REP,ROMNEY,983,1,,,,48,Northampton County,42095
2012,1,REP,ROMNEY,90,1,,,,49,Northumberland County,42097
2012,1,DEM,OBAMA,129,1,,,,50,Perry County,42099
2012,1,DEM,OBAMA,154,1,,,,51,Philadelphia County,42101
2012,1,DEM,OBAMA,87,1,,,,52,Pike County,42103
2012,1,DEM,OBAMA,312,1,,,,53,Potter County,42105
2012,1,DEM,OBAMA,158,1,,,,54,Schuylkill County,42107
2012,1,DEM,OBAMA,261,1,,,,55,Snyder County,42109
2012,1,DEM,OBAMA,340,1,,,,56,Somerset County,42111
2012,1,DEM,OBAMA,370,1,,,,57,Sullivan County,42113
2012,1,DEM,OBAMA,319,1,,,,58,Susquehanna County,42115
2012,1,DEM,OBAMA,463,1,,,,59,Tioga County,42117
2012,1,DEM,OBAMA,550,1,,,,60,Union County,42119
2012,1,DEM,OBAMA,455,1,,,,61,Venango County,42121
2012,1,DEM,OBAMA,243,1,,,,62,Warren County,42123
2012,1,DEM,OBAMA,510,1,,,,63,Washington County,42125
2012,1,DEM,OBAMA,225,1,,,,64,Wayne County,42127
2012,1,DEM,OBAMA,233,1,,,,65,Westmoreland County,42129
2012,1,DEM,OBAMA,101,1,,,,66,Wyoming County,42131
2012,1,DEM,OBAMA,386,1,,,,67,York County,42133
2012,1,DEM,OBAMA,331,1,,,,,,
2012,1,DEM,OBAMA,161,1,,,,,,
2012,1,DEM,OBAMA,320,1,,,,,,
2012,1,DEM,OBAMA,486,1,,,,,,
2012,1,DEM,OBAMA,578,1,,,,,,
2012,1,DEM,OBAMA,442,1,,,,,,
2012,1,DEM,OBAMA,341,1,,,,,,
2012,1,DEM,OBAMA,340,1,,,,,,
2012,1,DEM,OBAMA,180,1,,,,,,
2012,1,DEM,OBAMA,231,1,,,,,,
2012,1,DEM,OBAMA,344,1,,,,,,
2012,1,DEM,OBAMA,216,1,,,,,,
2012,1,DEM,OBAMA,248,1,,,,,,
2012,1,DEM,OBAMA,293,1,,,,,,
2012,1,DEM,OBAMA,261,1,,,,,,
2012,1,DEM,OBAMA,163,1,,,,,,
2012,1,DEM,OBAMA,371,1,,,,,,
2012,1,DEM,OBAMA,360,1,,,,,,
2012,1,DEM,OBAMA,278,1,,,,,,
